"relative_time, bits_sent, raw_edgename"
0.0,2048.0,vgg/conv0/BatchNorm/moments/Squeeze
44.0,2048.0,vgg/conv1/BatchNorm/moments/Squeeze_1
44.0,2048.0,vgg/conv1/BatchNorm/moments/Squeeze
487.0,4096.0,vgg/conv2/BatchNorm/moments/Squeeze_1
487.0,4096.0,vgg/conv3/BatchNorm/moments/Squeeze_1
487.0,4096.0,vgg/conv2/BatchNorm/moments/Squeeze
487.0,4096.0,vgg/conv3/BatchNorm/moments/Squeeze
488.0,8192.0,vgg/conv4/BatchNorm/moments/Squeeze_1
488.0,8192.0,vgg/conv5/BatchNorm/moments/Squeeze_1
488.0,8192.0,vgg/conv6/BatchNorm/moments/Squeeze_1
488.0,8192.0,vgg/conv4/BatchNorm/moments/Squeeze
488.0,8192.0,vgg/conv5/BatchNorm/moments/Squeeze
488.0,8192.0,vgg/conv6/BatchNorm/moments/Squeeze
489.0,16384.0,vgg/conv7/BatchNorm/moments/Squeeze_1
489.0,16384.0,vgg/conv8/BatchNorm/moments/Squeeze_1
489.0,16384.0,vgg/conv7/BatchNorm/moments/Squeeze
489.0,16384.0,vgg/conv8/BatchNorm/moments/Squeeze
490.0,16384.0,vgg/conv10/BatchNorm/moments/Squeeze_1
490.0,16384.0,vgg/conv9/BatchNorm/moments/Squeeze_1
490.0,16384.0,vgg/conv10/BatchNorm/moments/Squeeze
490.0,16384.0,vgg/conv9/BatchNorm/moments/Squeeze
491.0,16384.0,vgg/conv11/BatchNorm/moments/Squeeze_1
491.0,16384.0,vgg/conv12/BatchNorm/moments/Squeeze_1
491.0,16384.0,vgg/conv11/BatchNorm/moments/Squeeze
491.0,16384.0,vgg/conv12/BatchNorm/moments/Squeeze
3150.0,32032.0,gradients/vgg/logits/xw_plus_b_grad/tuple/control_dependency_1
3150.0,131072.0,gradients/vgg/fc2/xw_plus_b_grad/tuple/control_dependency_1
3150.0,131203072.0,gradients/AddN
3150.0,536870912.0,gradients/AddN_1
3151.0,131072.0,gradients/vgg/fc1/xw_plus_b_grad/tuple/control_dependency_1
3151.0,5435817984.0,gradients/AddN_2
3152.0,16384.0,gradients/vgg/conv12/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
3152.0,75497472.0,gradients/AddN_5
3153.0,16384.0,gradients/vgg/conv11/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
3154.0,16384.0,gradients/vgg/conv10/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
3154.0,75497472.0,gradients/AddN_8
3155.0,16384.0,gradients/vgg/conv9/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
3155.0,75497472.0,gradients/AddN_11
3156.0,75497472.0,gradients/AddN_14
3157.0,16384.0,gradients/vgg/conv8/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
3157.0,75497472.0,gradients/AddN_17
3158.0,16384.0,gradients/vgg/conv7/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
3159.0,8192.0,gradients/vgg/conv6/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
3159.0,37748736.0,gradients/AddN_20
3160.0,8192.0,gradients/vgg/conv5/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
3160.0,18874368.0,gradients/AddN_23
3161.0,18874368.0,gradients/AddN_26
3162.0,8192.0,gradients/vgg/conv4/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
3163.0,4096.0,gradients/vgg/conv3/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
3163.0,9437184.0,gradients/AddN_29
3164.0,4096.0,gradients/vgg/conv2/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
3164.0,4718592.0,gradients/AddN_32
3165.0,2359296.0,gradients/AddN_35
3166.0,2048.0,gradients/vgg/conv1/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
3168.0,1179648.0,gradients/AddN_38
3169.0,2048.0,gradients/vgg/conv0/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
3171.0,55296.0,gradients/AddN_41
