"order, bits_sent, raw_edgename"
0,32032.0,logits/logits/biases/read
1,6144.0,mixed_17x17x1280a/branch7x7x3/Conv/BatchNorm/beta/read
2,6144.0,mixed_17x17x1280a/branch7x7x3/Conv_2/BatchNorm/beta/read
3,6144.0,mixed_17x17x1280a/branch3x3/Conv/BatchNorm/beta/read
4,6144.0,mixed_8x8x2048a/branch_pool/Conv/BatchNorm/beta/read
5,14336.0,mixed_8x8x2048a/branch3x3dbl/Conv/BatchNorm/beta/read
6,12288.0,mixed_8x8x2048a/branch3x3dbl/Conv_2/BatchNorm/beta/read
7,12288.0,mixed_8x8x2048a/branch3x3/Conv_1/BatchNorm/beta/read
8,10240.0,mixed_8x8x2048a/branch1x1/Conv/BatchNorm/beta/read
9,12288.0,mixed_8x8x2048b/branch3x3dbl/Conv_1/BatchNorm/beta/read
10,12288.0,mixed_8x8x2048b/branch3x3dbl/Conv_3/BatchNorm/beta/read
11,12288.0,mixed_8x8x2048b/branch3x3/Conv/BatchNorm/beta/read
12,12288.0,mixed_8x8x2048b/branch3x3/Conv_2/BatchNorm/beta/read
