"order, bits_sent, raw_edgename"
0,32768.0,resnet_v2_200/block3/unit_1/bottleneck_v2/shortcut/biases/read
1,2048.0,resnet_v2_200/block1/unit_1/bottleneck_v2/preact/beta/read
2,2048.0,resnet_v2_200/block1/unit_1/bottleneck_v2/conv2/BatchNorm/gamma/read
3,8192.0,resnet_v2_200/block1/unit_2/bottleneck_v2/conv3/biases/read
4,2048.0,resnet_v2_200/block1/unit_3/bottleneck_v2/conv2/BatchNorm/gamma/read
5,4718592.0,resnet_v2_200/block2/unit_2/bottleneck_v2/conv2/weights/read
6,16384.0,resnet_v2_200/block4/unit_3/bottleneck_v2/conv2/BatchNorm/beta/read
7,65536.0,resnet_v2_200/block4/unit_3/bottleneck_v2/preact/beta/read
8,16384.0,resnet_v2_200/block4/unit_1/bottleneck_v2/conv2/BatchNorm/beta/read
9,4718592.0,resnet_v2_200/block2/unit_24/bottleneck_v2/conv2/weights/read
10,32.0,resnet_v2_200/block2/unit_2/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer
11,32.0,resnet_v2_200/block2/unit_2/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
12,4718592.0,resnet_v2_200/block2/unit_4/bottleneck_v2/conv2/weights/read
13,32.0,resnet_v2_200/block2/unit_24/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer
14,32.0,resnet_v2_200/block2/unit_24/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
15,4718592.0,resnet_v2_200/block2/unit_22/bottleneck_v2/conv2/weights/read
16,32.0,resnet_v2_200/block2/unit_4/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer
17,32.0,resnet_v2_200/block2/unit_4/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
18,4718592.0,resnet_v2_200/block2/unit_6/bottleneck_v2/conv2/weights/read
19,32.0,resnet_v2_200/block2/unit_22/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer
20,32.0,resnet_v2_200/block2/unit_22/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
21,4718592.0,resnet_v2_200/block2/unit_20/bottleneck_v2/conv2/weights/read
22,32.0,resnet_v2_200/block2/unit_6/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer
23,32.0,resnet_v2_200/block2/unit_6/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
24,4718592.0,resnet_v2_200/block2/unit_8/bottleneck_v2/conv2/weights/read
25,32.0,resnet_v2_200/block2/unit_20/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer
26,32.0,resnet_v2_200/block2/unit_20/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
27,4718592.0,resnet_v2_200/block2/unit_18/bottleneck_v2/conv2/weights/read
28,32.0,resnet_v2_200/block2/unit_8/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer
29,32.0,resnet_v2_200/block2/unit_8/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
30,4718592.0,resnet_v2_200/block2/unit_10/bottleneck_v2/conv2/weights/read
31,32.0,resnet_v2_200/block2/unit_18/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer
32,32.0,resnet_v2_200/block2/unit_18/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
33,4718592.0,resnet_v2_200/block2/unit_16/bottleneck_v2/conv2/weights/read
34,32.0,resnet_v2_200/block2/unit_10/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer
35,32.0,resnet_v2_200/block2/unit_10/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
36,4718592.0,resnet_v2_200/block2/unit_12/bottleneck_v2/conv2/weights/read
37,32.0,resnet_v2_200/block2/unit_16/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer
38,32.0,resnet_v2_200/block2/unit_16/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
39,4718592.0,resnet_v2_200/block2/unit_14/bottleneck_v2/conv2/weights/read
40,32.0,resnet_v2_200/block2/unit_12/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer
41,32.0,resnet_v2_200/block2/unit_12/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
42,32.0,resnet_v2_200/block2/unit_14/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer
43,32.0,resnet_v2_200/block2/unit_14/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
