MTU,butterfly,distribution_trace_base_dir,fat_tree,forward_pass_as_bytes,fwd_pass_time,gpu_speedup,gradient_size,gswitch_inbuffer_size,gswitch_recv_rate,gswitch_send_rate,horovod,in_network_computation,inputs_as_bytes,iteration_time,json,latency,latency_distribution,latency_std,max_param_size,message_size,model_name,multi_step,num_gswitches,num_ps,num_workers,on_same_rack,optimal_param_distribution,ps_inbuffer_size,ps_recv_rate,ps_send_rate,real_distribution,scattercast,step_num,striping,timeout,topology,tor_inbuffer_size,tor_recv_rate,tor_send_rate,trace_base_dir,use_multicast,verbosity,worker_inbuffer_size,worker_receive_time,worker_recv_rate,worker_send_rate
12000000.0,0,distribution_csv/inception-v3/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,1,0,0.5202762912000001,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,inception-v3,1,4,1,32,1,0,-1,10.0,10.0,0,0,0,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,1,0,-1,"[0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022]",10.0,10.0
12000000.0,1,distribution_csv/inception-v3/,1,1,0.176,1.0,0.0,-1,10.0,10.0,1,0,0,0.5289404351999943,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,inception-v3,1,4,0,32,1,0,-1,10.0,10.0,0,0,0,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,0,0,-1,[],10.0,10.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,1,0,0.49073451648,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,inception-v3,1,4,1,32,1,0,-1,25.0,25.0,0,0,0,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,1,0,-1,"[0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974, 0.03342202111999974]",25.0,25.0
12000000.0,1,distribution_csv/inception-v3/,1,1,0.176,1.0,0.0,-1,10.0,10.0,1,0,0,0.47151105920000025,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,inception-v3,1,4,0,32,1,0,-1,25.0,25.0,0,0,0,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,0,0,-1,[],25.0,25.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,1,0,0.48088725824,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,inception-v3,1,4,1,32,1,0,-1,50.0,50.0,0,0,0,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,1,0,-1,"[0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867, 0.016721010559999867]",50.0,50.0
12000000.0,1,distribution_csv/inception-v3/,1,1,0.176,1.0,0.0,-1,10.0,10.0,1,0,0,0.47150552960000014,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,inception-v3,1,4,0,32,1,0,-1,50.0,50.0,0,0,0,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,0,0,-1,[],50.0,50.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.176,1.0,0.0,-1,10.0,10.0,1,0,0,0.5596925119999926,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,inception-v3,1,4,0,32,1,0,-1,10.0,10.0,0,0,0,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,0,0,-1,[],10.0,10.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.176,1.0,0.0,-1,10.0,10.0,1,0,0,0.49060243584000063,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,inception-v3,1,4,0,32,1,0,-1,25.0,25.0,0,0,0,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,0,0,-1,[],25.0,25.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.176,1.0,0.0,-1,10.0,10.0,1,0,0,0.48267111296000503,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,inception-v3,1,4,0,32,1,0,-1,50.0,50.0,0,0,0,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,0,0,-1,[],50.0,50.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,1,0,0.9535355840000012,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,inception-v3,3,4,1,32,1,0,-1,10.0,10.0,0,0,0,1,3000.0,,-1,200.0,200.0,csv/inception-v3/,1,0,-1,"[0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.08352505280000022, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 0.5348266752, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012, 1.0204025888000012]",10.0,10.0
