inputs_as_bytes,gswitch_recv_rate,distribution_trace_base_dir,tor_inbuffer_size,message_size,scattercast,tor_send_rate,latency,gswitch_inbuffer_size,horovod,num_gswitches,use_multicast,json,in_network_computation,fwd_pass_time,worker_send_rate,worker_inbuffer_size,step_num,butterfly,num_ps,real_distribution,striping,worker_recv_rate,num_workers,worker_receive_time,iteration_time,two_step,MTU,latency_std,ps_send_rate,on_same_rack,topology,fat_tree,verbosity,gswitch_send_rate,tor_recv_rate,ps_inbuffer_size,gradient_size,trace_base_dir,timeout,ps_recv_rate,forward_pass_as_bytes,latency_distribution,model_name,optimal_param_distribution
0,10.0,distribution_csv/inception-v3/,-1,16000000.0,0,100.0,1e-05,-1,0,4,0,json/inception-v3_param_ps_assignment.json,1,0.176,10.0,-1,41,0,1,0,2,10.0,32,"[2.589587769599843, 2.5910520895998426, 2.5925164095998423, 2.593980729599842, 2.595445049599842, 2.5969093695998415, 2.5983736895998413, 2.599838009599841, 2.6013023295998408, 2.6027666495998405, 2.6042309695998402, 2.60569528959984, 2.6071596095998397, 2.6086239295998395, 2.610088249599839, 2.611552569599839, 2.6130168895998387, 2.6144812095998384, 2.615945529599838, 2.617409849599838, 2.6188741695998377, 2.6203384895998374, 2.621802809599837, 2.623267129599837, 2.6247314495998366, 2.6261957695998364, 2.627660089599836, 2.629124409599836, 2.6305887295998356, 2.6320530495998353, 2.633517369599835, 2.634981689599835]",3.015007219199835,0,12000000.0,0.0002,10.0,1,,1,1,10.0,100.0,-1,0.0,csv/inception-v3/,3000.0,10.0,0,none,inception-v3,0
0,10.0,distribution_csv/inception-v3/,-1,16000000.0,0,100.0,1e-05,-1,1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10.0,-1,41,0,0,0,2,10.0,32,[],0.5711559359999919,0,12000000.0,0.0002,10.0,1,,1,1,10.0,100.0,-1,0.0,csv/inception-v3/,3000.0,10.0,0,none,inception-v3,0
0,10.0,distribution_csv/inception-v3/,-1,16000000.0,0,100.0,1e-05,-1,0,4,0,json/inception-v3_param_ps_assignment.json,1,0.176,10.0,-1,42,0,1,0,2,10.0,32,"[2.589587769599843, 2.5910520895998426, 2.5925164095998423, 2.593980729599842, 2.595445049599842, 2.5969093695998415, 2.5983736895998413, 2.599838009599841, 2.6013023295998408, 2.6027666495998405, 2.6042309695998402, 2.60569528959984, 2.6071596095998397, 2.6086239295998395, 2.610088249599839, 2.611552569599839, 2.6130168895998387, 2.6144812095998384, 2.615945529599838, 2.617409849599838, 2.6188741695998377, 2.6203384895998374, 2.621802809599837, 2.623267129599837, 2.6247314495998366, 2.6261957695998364, 2.627660089599836, 2.629124409599836, 2.6305887295998356, 2.6320530495998353, 2.633517369599835, 2.634981689599835]",2.977614259199836,0,12000000.0,0.0002,10.0,1,,1,1,10.0,100.0,-1,0.0,csv/inception-v3/,3000.0,10.0,0,none,inception-v3,0
0,10.0,distribution_csv/inception-v3/,-1,16000000.0,0,100.0,1e-05,-1,1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10.0,-1,42,0,0,0,2,10.0,32,[],0.5922557439999903,0,12000000.0,0.0002,10.0,1,,1,1,10.0,100.0,-1,0.0,csv/inception-v3/,3000.0,10.0,0,none,inception-v3,0
0,10.0,distribution_csv/inception-v3/,-1,16000000.0,0,100.0,1e-05,-1,0,4,0,json/inception-v3_param_ps_assignment.json,1,0.176,10.0,-1,43,0,1,0,2,10.0,32,"[2.589587769599843, 2.5910520895998426, 2.5925164095998423, 2.593980729599842, 2.595445049599842, 2.5969093695998415, 2.5983736895998413, 2.599838009599841, 2.6013023295998408, 2.6027666495998405, 2.6042309695998402, 2.60569528959984, 2.6071596095998397, 2.6086239295998395, 2.610088249599839, 2.611552569599839, 2.6130168895998387, 2.6144812095998384, 2.615945529599838, 2.617409849599838, 2.6188741695998377, 2.6203384895998374, 2.621802809599837, 2.623267129599837, 2.6247314495998366, 2.6261957695998364, 2.627660089599836, 2.629124409599836, 2.6305887295998356, 2.6320530495998353, 2.633517369599835, 2.634981689599835]",3.0110785791998356,0,12000000.0,0.0002,10.0,1,,1,1,10.0,100.0,-1,0.0,csv/inception-v3/,3000.0,10.0,0,none,inception-v3,0
0,10.0,distribution_csv/inception-v3/,-1,16000000.0,0,100.0,1e-05,-1,1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10.0,-1,43,0,0,0,2,10.0,32,[],0.640027436799989,0,12000000.0,0.0002,10.0,1,,1,1,10.0,100.0,-1,0.0,csv/inception-v3/,3000.0,10.0,0,none,inception-v3,0
0,10.0,distribution_csv/inception-v3/,-1,16000000.0,0,100.0,1e-05,-1,0,4,0,json/inception-v3_param_ps_assignment.json,1,0.176,10.0,-1,44,0,1,0,2,10.0,32,"[2.589587769599843, 2.5910520895998426, 2.5925164095998423, 2.593980729599842, 2.595445049599842, 2.5969093695998415, 2.5983736895998413, 2.599838009599841, 2.6013023295998408, 2.6027666495998405, 2.6042309695998402, 2.60569528959984, 2.6071596095998397, 2.6086239295998395, 2.610088249599839, 2.611552569599839, 2.6130168895998387, 2.6144812095998384, 2.615945529599838, 2.617409849599838, 2.6188741695998377, 2.6203384895998374, 2.621802809599837, 2.623267129599837, 2.6247314495998366, 2.6261957695998364, 2.627660089599836, 2.629124409599836, 2.6305887295998356, 2.6320530495998353, 2.633517369599835, 2.634981689599835]",3.0082212991998367,0,12000000.0,0.0002,10.0,1,,1,1,10.0,100.0,-1,0.0,csv/inception-v3/,3000.0,10.0,0,none,inception-v3,0
0,10.0,distribution_csv/inception-v3/,-1,16000000.0,0,100.0,1e-05,-1,1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10.0,-1,44,0,0,0,2,10.0,32,[],0.6058852863999913,0,12000000.0,0.0002,10.0,1,,1,1,10.0,100.0,-1,0.0,csv/inception-v3/,3000.0,10.0,0,none,inception-v3,0
0,10.0,distribution_csv/inception-v3/,-1,16000000.0,0,100.0,1e-05,-1,0,4,0,json/inception-v3_param_ps_assignment.json,1,0.176,10.0,-1,45,0,1,0,2,10.0,32,"[2.589587769599843, 2.5910520895998426, 2.5925164095998423, 2.593980729599842, 2.595445049599842, 2.5969093695998415, 2.5983736895998413, 2.599838009599841, 2.6013023295998408, 2.6027666495998405, 2.6042309695998402, 2.60569528959984, 2.6071596095998397, 2.6086239295998395, 2.610088249599839, 2.611552569599839, 2.6130168895998387, 2.6144812095998384, 2.615945529599838, 2.617409849599838, 2.6188741695998377, 2.6203384895998374, 2.621802809599837, 2.623267129599837, 2.6247314495998366, 2.6261957695998364, 2.627660089599836, 2.629124409599836, 2.6305887295998356, 2.6320530495998353, 2.633517369599835, 2.634981689599835]",3.003756979199837,0,12000000.0,0.0002,10.0,1,,1,1,10.0,100.0,-1,0.0,csv/inception-v3/,3000.0,10.0,0,none,inception-v3,0
0,10.0,distribution_csv/inception-v3/,-1,16000000.0,0,100.0,1e-05,-1,1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10.0,-1,45,0,0,0,2,10.0,32,[],0.6102481087999869,0,12000000.0,0.0002,10.0,1,,1,1,10.0,100.0,-1,0.0,csv/inception-v3/,3000.0,10.0,0,none,inception-v3,0
