MTU,butterfly,distribution_trace_base_dir,fat_tree,forward_pass_as_bytes,fwd_pass_time,gpu_speedup,gradient_size,gswitch_inbuffer_size,gswitch_recv_rate,gswitch_send_rate,horovod,in_network_computation,inputs_as_bytes,iteration_time,json,latency,latency_distribution,latency_std,max_param_size,message_size,model_name,multi_step,num_gswitches,num_ps,num_workers,on_same_rack,optimal_param_distribution,ps_inbuffer_size,ps_recv_rate,ps_send_rate,real_distribution,scattercast,step_num,striping,timeout,topology,tor_inbuffer_size,tor_recv_rate,tor_send_rate,trace_base_dir,use_multicast,verbosity,worker_inbuffer_size,worker_receive_time,worker_recv_rate,worker_send_rate
12000000.0,0,distribution_csv/inception-v3/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,0,0,6.461888313602568,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,10000000.0,inception-v3,3,4,1,32,1,0,-1,10.0,10.0,0,0,41,2,3000.0,,-1,100.0,100.0,csv/inception-v3/,0,0,-1,"[2.6078520895998096, 2.6087164095998094, 2.6095807295998092, 2.610445049599809, 2.611309369599809, 2.6121736895998087, 2.6130380095998085, 2.6139023295998083, 2.614766649599808, 2.615630969599808, 2.6164952895998077, 2.6173596095998075, 2.6182239295998073, 2.619088249599807, 2.619952569599807, 2.6208168895998067, 2.6216812095998066, 2.6225455295998064, 2.623409849599806, 2.624274169599806, 2.625138489599806, 2.6260028095998056, 2.6268671295998054, 2.627731449599805, 2.628595769599805, 2.629460089599805, 2.6303244095998046, 2.6311887295998044, 2.6320530495998042, 2.632917369599804, 2.633781689599804, 2.6346460095998037, 6.02930364800151, 6.03016796800151, 6.0310322880015095, 6.031896608001509, 6.032760928001509, 6.033625248001509, 6.034489568001509, 6.0353538880015085, 6.036218208001508, 6.037082528001508, 6.037946848001508, 6.038811168001508, 6.0396754880015076, 6.040539808001507, 6.041404128001507, 6.042268448001507, 6.043132768001507, 6.043997088001507, 6.044861408001506, 6.045725728001506, 6.046590048001506, 6.047454368001506, 6.048318688001506, 6.049183008001505, 6.050047328001505, 6.050911648001505, 6.051775968001505, 6.052640288001505, 6.0535046080015045, 6.054368928001504, 6.055233248001504, 6.056097568001504, 9.445022700802362, 9.445887020802362, 9.446751340802361, 9.447615660802361, 9.448479980802361, 9.44934430080236, 9.45020862080236, 9.45107294080236, 9.45193726080236, 9.45280158080236, 9.45366590080236, 9.45453022080236, 9.45539454080236, 9.45625886080236, 9.457123180802359, 9.457987500802359, 9.458851820802359, 9.459716140802358, 9.460580460802358, 9.461444780802358, 9.462309100802358, 9.463173420802358, 9.464037740802357, 9.464902060802357, 9.465766380802357, 9.466630700802357, 9.467495020802357, 9.468359340802357, 9.469223660802356, 9.470087980802356, 9.470952300802356, 9.471816620802356]",10.0,10.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,0,0,4.58747687360018,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,10000000.0,inception-v3,3,4,1,32,1,0,-1,10.0,10.0,0,0,41,2,3000.0,,-1,100.0,100.0,csv/inception-v3/,1,0,-1,"[0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 0.08332505280000022, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 2.5190103872000122, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018, 4.81255262080018]",10.0,10.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,1,0,5.272185792003458,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,10000000.0,inception-v3,3,4,1,32,1,0,-1,10.0,10.0,0,0,41,2,3000.0,,-1,100.0,100.0,csv/inception-v3/,0,0,-1,"[2.6078520895998096, 2.6087164095998094, 2.6095807295998092, 2.610445049599809, 2.611309369599809, 2.6121736895998087, 2.6130380095998085, 2.6139023295998083, 2.614766649599808, 2.615630969599808, 2.6164952895998077, 2.6173596095998075, 2.6182239295998073, 2.619088249599807, 2.619952569599807, 2.6208168895998067, 2.6216812095998066, 2.6225455295998064, 2.623409849599806, 2.624274169599806, 2.625138489599806, 2.6260028095998056, 2.6268671295998054, 2.627731449599805, 2.628595769599805, 2.629460089599805, 2.6303244095998046, 2.6311887295998044, 2.6320530495998042, 2.632917369599804, 2.633781689599804, 2.6346460095998037, 5.2454153920009094, 5.246279712000909, 5.247144032000909, 5.248008352000909, 5.248872672000909, 5.2497369920009085, 5.250601312000908, 5.251465632000908, 5.252329952000908, 5.253194272000908, 5.2540585920009075, 5.254922912000907, 5.255787232000907, 5.256651552000907, 5.257515872000907, 5.258380192000907, 5.259244512000906, 5.260108832000906, 5.260973152000906, 5.261837472000906, 5.262701792000906, 5.263566112000905, 5.264430432000905, 5.265294752000905, 5.266159072000905, 5.267023392000905, 5.267887712000904, 5.268752032000904, 5.269616352000904, 5.270480672000904, 5.271344992000904, 5.2722093120009035, 7.882952441603265, 7.883816761603264, 7.884681081603264, 7.885545401603264, 7.886409721603264, 7.887274041603264, 7.888138361603263, 7.889002681603263, 7.889867001603263, 7.890731321603263, 7.891595641603263, 7.8924599616032625, 7.893324281603262, 7.894188601603262, 7.895052921603262, 7.895917241603262, 7.8967815616032615, 7.897645881603261, 7.898510201603261, 7.899374521603261, 7.900238841603261, 7.9011031616032605, 7.90196748160326, 7.90283180160326, 7.90369612160326, 7.90456044160326, 7.90542476160326, 7.906289081603259, 7.907153401603259, 7.908017721603259, 7.908882041603259, 7.909746361603259]",10.0,10.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,0,0,3.115590853120654,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,10000000.0,inception-v3,3,4,1,32,1,0,-1,25.0,25.0,0,0,41,2,3000.0,,-1,100.0,100.0,csv/inception-v3/,0,0,-1,"[1.0431528358399444, 1.0434985638399445, 1.0438442918399446, 1.0441900198399447, 1.0445357478399449, 1.044881475839945, 1.045227203839945, 1.0455729318399452, 1.0459186598399453, 1.0462643878399454, 1.0466101158399455, 1.0469558438399456, 1.0473015718399457, 1.0476472998399458, 1.0479930278399459, 1.048338755839946, 1.048684483839946, 1.0490302118399462, 1.0493759398399463, 1.0497216678399464, 1.0500673958399465, 1.0504131238399466, 1.0507588518399467, 1.0511045798399468, 1.0514503078399469, 1.051796035839947, 1.052141763839947, 1.0524874918399472, 1.0528332198399473, 1.0531789478399474, 1.0535246758399475, 1.0538704038399476, 2.671249995520342, 2.6715957235203422, 2.6719414515203423, 2.6722871795203424, 2.6726329075203425, 2.6729786355203426, 2.6733243635203428, 2.673670091520343, 2.674015819520343, 2.674361547520343, 2.674707275520343, 2.6750530035203433, 2.6753987315203434, 2.6757444595203435, 2.6760901875203436, 2.6764359155203437, 2.6767816435203438, 2.677127371520344, 2.677473099520344, 2.677818827520344, 2.678164555520344, 2.6785102835203443, 2.6788560115203444, 2.6792017395203445, 2.6795474675203446, 2.6798931955203447, 2.6802389235203448, 2.680584651520345, 2.680930379520345, 2.681276107520345, 2.681621835520345, 2.6819675635203453, 4.2953720512005775, 4.295717779200578, 4.296063507200578, 4.296409235200578, 4.296754963200578, 4.297100691200578, 4.297446419200578, 4.297792147200578, 4.298137875200578, 4.298483603200578, 4.2988293312005785, 4.299175059200579, 4.299520787200579, 4.299866515200579, 4.300212243200579, 4.300557971200579, 4.300903699200579, 4.301249427200579, 4.301595155200579, 4.301940883200579, 4.3022866112005795, 4.30263233920058, 4.30297806720058, 4.30332379520058, 4.30366952320058, 4.30401525120058, 4.30436097920058, 4.30470670720058, 4.30505243520058, 4.30539816320058, 4.3057438912005805, 4.306089619200581]",25.0,25.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,0,0,1.9546894105599255,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,10000000.0,inception-v3,3,4,1,32,1,0,-1,25.0,25.0,0,0,41,2,3000.0,,-1,100.0,100.0,csv/inception-v3/,1,0,-1,"[0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 1.1132624716799657, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975, 2.090523999999975]",25.0,25.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,1,0,2.109391589120982,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,10000000.0,inception-v3,3,4,1,32,1,0,-1,25.0,25.0,0,0,41,2,3000.0,,-1,100.0,100.0,csv/inception-v3/,0,0,-1,"[1.0431528358399444, 1.0434985638399445, 1.0438442918399446, 1.0441900198399447, 1.0445357478399449, 1.044881475839945, 1.045227203839945, 1.0455729318399452, 1.0459186598399453, 1.0462643878399454, 1.0466101158399455, 1.0469558438399456, 1.0473015718399457, 1.0476472998399458, 1.0479930278399459, 1.048338755839946, 1.048684483839946, 1.0490302118399462, 1.0493759398399463, 1.0497216678399464, 1.0500673958399465, 1.0504131238399466, 1.0507588518399467, 1.0511045798399468, 1.0514503078399469, 1.051796035839947, 1.052141763839947, 1.0524874918399472, 1.0528332198399473, 1.0531789478399474, 1.0535246758399475, 1.0538704038399476, 2.098299514880472, 2.098645242880472, 2.098990970880472, 2.0993366988804723, 2.0996824268804724, 2.1000281548804725, 2.1003738828804726, 2.1007196108804727, 2.1010653388804728, 2.101411066880473, 2.101756794880473, 2.102102522880473, 2.102448250880473, 2.1027939788804733, 2.1031397068804734, 2.1034854348804735, 2.1038311628804736, 2.1041768908804737, 2.1045226188804738, 2.104868346880474, 2.105214074880474, 2.105559802880474, 2.105905530880474, 2.1062512588804743, 2.1065969868804744, 2.1069427148804745, 2.1072884428804746, 2.1076341708804747, 2.1079798988804748, 2.108325626880475, 2.108671354880475, 2.109017082880475, 3.1534050444809267, 3.153750772480927, 3.154096500480927, 3.154442228480927, 3.154787956480927, 3.1551336844809272, 3.1554794124809273, 3.1558251404809274, 3.1561708684809275, 3.1565165964809276, 3.1568623244809277, 3.157208052480928, 3.157553780480928, 3.157899508480928, 3.158245236480928, 3.1585909644809282, 3.1589366924809283, 3.1592824204809284, 3.1596281484809285, 3.1599738764809286, 3.1603196044809287, 3.160665332480929, 3.161011060480929, 3.161356788480929, 3.161702516480929, 3.1620482444809292, 3.1623939724809293, 3.1627397004809295, 3.1630854284809296, 3.1634311564809297, 3.1637768844809298, 3.16412261248093]",25.0,25.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,1,0,0.7663758796799992,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,10000000.0,inception-v3,3,4,1,32,1,0,-1,25.0,25.0,0,0,41,2,3000.0,,-1,100.0,100.0,csv/inception-v3/,1,0,-1,"[0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.03334202111999973, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.5788202444799995, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999, 0.962008184319999]",25.0,25.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,0,0,1.5522240665603588,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,10000000.0,inception-v3,3,4,1,32,1,0,-1,50.0,50.0,0,0,41,2,3000.0,,-1,100.0,100.0,csv/inception-v3/,0,0,-1,"[0.5215864179199721, 0.5217592819199721, 0.5219321459199722, 0.5221050099199722, 0.5222778739199723, 0.5224507379199723, 0.5226236019199724, 0.5227964659199724, 0.5229693299199725, 0.5231421939199725, 0.5233150579199726, 0.5234879219199726, 0.5236607859199727, 0.5238336499199727, 0.5240065139199728, 0.5241793779199728, 0.5243522419199729, 0.5245251059199729, 0.524697969919973, 0.524870833919973, 0.5250436979199731, 0.5252165619199731, 0.5253894259199732, 0.5255622899199732, 0.5257351539199733, 0.5259080179199733, 0.5260808819199734, 0.5262537459199734, 0.5264266099199735, 0.5265994739199735, 0.5267723379199736, 0.5269452019199736, 1.3166762713601803, 1.3168491353601803, 1.3170219993601804, 1.3171948633601804, 1.3173677273601805, 1.3175405913601805, 1.3177134553601806, 1.3178863193601806, 1.3180591833601807, 1.3182320473601807, 1.3184049113601808, 1.3185777753601808, 1.3187506393601809, 1.318923503360181, 1.319096367360181, 1.319269231360181, 1.319442095360181, 1.3196149593601811, 1.3197878233601812, 1.3199606873601812, 1.3201335513601813, 1.3203064153601813, 1.3204792793601814, 1.3206521433601814, 1.3208250073601815, 1.3209978713601815, 1.3211707353601816, 1.3213435993601816, 1.3215164633601817, 1.3216893273601817, 1.3218621913601818, 1.3220350553601818, 2.1121125875203237, 2.1122854515203238, 2.112458315520324, 2.112631179520324, 2.112804043520324, 2.112976907520324, 2.113149771520324, 2.113322635520324, 2.113495499520324, 2.113668363520324, 2.113841227520324, 2.1140140915203243, 2.1141869555203243, 2.1143598195203244, 2.1145326835203244, 2.1147055475203245, 2.1148784115203245, 2.1150512755203246, 2.1152241395203246, 2.1153970035203247, 2.1155698675203247, 2.1157427315203248, 2.115915595520325, 2.116088459520325, 2.116261323520325, 2.116434187520325, 2.116607051520325, 2.116779915520325, 2.116952779520325, 2.117125643520325, 2.1172985075203252, 2.1174713715203253]",50.0,50.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,0,0,1.139011580159933,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,10000000.0,inception-v3,3,4,1,32,1,0,-1,50.0,50.0,0,0,41,2,3000.0,,-1,100.0,100.0,csv/inception-v3/,1,0,-1,"[0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.016681010559999862, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 0.6480894739199922, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432, 1.2177826137599432]",50.0,50.0
12000000.0,0,distribution_csv/inception-v3/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,1,0,1.0565727206404967,json/inception-v3_param_ps_assignment.json,1e-05,none,0.0002,-1.0,10000000.0,inception-v3,3,4,1,32,1,0,-1,50.0,50.0,0,0,41,2,3000.0,,-1,100.0,100.0,csv/inception-v3/,0,0,-1,"[0.5215864179199721, 0.5217592819199721, 0.5219321459199722, 0.5221050099199722, 0.5222778739199723, 0.5224507379199723, 0.5226236019199724, 0.5227964659199724, 0.5229693299199725, 0.5231421939199725, 0.5233150579199726, 0.5234879219199726, 0.5236607859199727, 0.5238336499199727, 0.5240065139199728, 0.5241793779199728, 0.5243522419199729, 0.5245251059199729, 0.524697969919973, 0.524870833919973, 0.5250436979199731, 0.5252165619199731, 0.5253894259199732, 0.5255622899199732, 0.5257351539199733, 0.5259080179199733, 0.5260808819199734, 0.5262537459199734, 0.5264266099199735, 0.5265994739199735, 0.5267723379199736, 0.5269452019199736, 1.0483387558402402, 1.0485116198402402, 1.0486844838402403, 1.0488573478402403, 1.0490302118402404, 1.0492030758402404, 1.0493759398402405, 1.0495488038402405, 1.0497216678402406, 1.0498945318402406, 1.0500673958402407, 1.0502402598402407, 1.0504131238402408, 1.0505859878402408, 1.0507588518402409, 1.050931715840241, 1.051104579840241, 1.051277443840241, 1.051450307840241, 1.0516231718402411, 1.0517960358402412, 1.0519688998402412, 1.0521417638402413, 1.0523146278402413, 1.0524874918402414, 1.0526603558402414, 1.0528332198402415, 1.0530060838402415, 1.0531789478402416, 1.0533518118402416, 1.0535246758402417, 1.0536975398402417, 1.5760510297604673, 1.5762238937604673, 1.5763967577604674, 1.5765696217604674, 1.5767424857604675, 1.5769153497604675, 1.5770882137604676, 1.5772610777604676, 1.5774339417604677, 1.5776068057604677, 1.5777796697604678, 1.5779525337604678, 1.578125397760468, 1.578298261760468, 1.578471125760468, 1.578643989760468, 1.578816853760468, 1.5789897177604681, 1.5791625817604682, 1.5793354457604682, 1.5795083097604683, 1.5796811737604683, 1.5798540377604684, 1.5800269017604684, 1.5801997657604685, 1.5803726297604686, 1.5805454937604686, 1.5807183577604687, 1.5808912217604687, 1.5810640857604688, 1.5812369497604688, 1.5814098137604689]",50.0,50.0
