vgg16
,default,multiagg,horovod
16,42.08056624894412,1.791316952533336,1.452961881599992
32,42.08055978367623,1.8365218681600157,1.4601360300800081
64,42.08054521855025,1.817313034880037,1.4681880627200146
128,42.08050957119211,1.8210837984000414,1.471156971520019
256,42.08128784511071,1.8238132428800469,1.9201126656000564
512,42.081306776951386,1.8522851603200496,3.4459282262399116
1024,42.08125372671101,1.7709792947200456,6.605139617279538
2048,42.08129448703113,1.886934043520054,12.951627436802465
4096,42.0812499436711,1.9135333376000563,25.659161268170458
8192,42.081248700151114,1.9029926572800555,33.95451150080994

