MTU,butterfly,distribution_trace_base_dir,fat_tree,forward_pass_as_bytes,fwd_pass_time,gpu_speedup,gradient_size,gswitch_inbuffer_size,gswitch_recv_rate,gswitch_send_rate,horovod,in_network_computation,inputs_as_bytes,iteration_time,json,latency,latency_distribution,latency_std,max_param_size,message_size,model_name,multi_step,num_gswitches,num_ps,num_workers,on_same_rack,optimal_param_distribution,ps_inbuffer_size,ps_recv_rate,ps_send_rate,real_distribution,scattercast,step_num,striping,timeout,topology,tor_inbuffer_size,tor_recv_rate,tor_send_rate,trace_base_dir,use_multicast,verbosity,worker_inbuffer_size,worker_receive_time,worker_recv_rate,worker_send_rate
12000000.0,0,distribution_csv/resnet-101/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,0,0,1.1723921119999956,json/resnet-101_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,resnet-101,1,4,1,4,1,0,-1,10.0,10.0,0,0,41,1,3000.0,,-1,200.0,200.0,csv/resnet-101/,0,0,-1,"[0.5706459967999926, 0.5706460031999926, 0.5706460159999925, 0.5718410367999924]",10.0,10.0
12000000.0,0,distribution_csv/resnet-101/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,0,0,2.284661862400075,json/resnet-101_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,resnet-101,1,4,1,8,1,0,-1,10.0,10.0,0,0,41,1,3000.0,,-1,200.0,200.0,csv/resnet-101/,0,0,-1,"[1.1412719808000436, 1.1412719872000436, 1.1412719936000437, 1.141272006400044, 1.141272012800044, 1.141272019200044, 1.141272748800043, 1.1424604160000416]",10.0,10.0
12000000.0,0,distribution_csv/resnet-101/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,0,0,4.5660576607997765,json/resnet-101_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,resnet-101,1,4,1,16,1,0,-1,10.0,10.0,0,0,41,1,3000.0,,-1,200.0,200.0,csv/resnet-101/,0,0,-1,"[2.2825239487999798, 2.28252395519998, 2.28252396159998, 2.28252397439998, 2.28252398079998, 2.2825239871999803, 2.2825239935999804, 2.2825240063999805, 2.2825240127999806, 2.2825240191999807, 2.282524025599981, 2.282524031999981, 2.282524038399981, 2.282524044799981, 2.282524665599985, 2.2836991743999953]",10.0,10.0
12000000.0,0,distribution_csv/resnet-101/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,0,0,9.131879971199599,json/resnet-101_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,resnet-101,1,4,1,32,1,0,-1,10.0,10.0,0,0,41,1,3000.0,,-1,200.0,200.0,csv/resnet-101/,0,0,-1,"[4.56502788479933, 4.56502789119933, 4.56502789759933, 4.565027903999329, 4.565027916799329, 4.565027923199328, 4.565027929599328, 4.5650279359993275, 4.565027942399327, 4.565027948799327, 4.5650279551993265, 4.565027961599326, 4.565027967999326, 4.565027974399325, 4.565027980799325, 4.565027987199325, 4.565027993599324, 4.565028006399324, 4.565028012799323, 4.565028019199323, 4.5650280255993225, 4.565028031999322, 4.565028038399322, 4.5650280447993214, 4.565028051199321, 4.565028057599321, 4.56502806399932, 4.56502807039932, 4.56502807679932, 4.565028083199319, 4.565028499199315, 4.5661766911992805]",10.0,10.0
12000000.0,0,distribution_csv/resnet-101/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,0,0,0.8559287327999748,json/resnet-101_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,resnet-101,1,4,1,4,1,0,-1,10.0,10.0,0,0,41,1,3000.0,,-1,200.0,200.0,csv/resnet-101/,1,0,-1,"[0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988]",10.0,10.0
12000000.0,0,distribution_csv/resnet-101/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,0,0,1.4255144928000083,json/resnet-101_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,resnet-101,1,4,1,8,1,0,-1,10.0,10.0,0,0,41,1,3000.0,,-1,200.0,200.0,csv/resnet-101/,1,0,-1,"[0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988]",10.0,10.0
12000000.0,0,distribution_csv/resnet-101/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,0,0,2.567568195199995,json/resnet-101_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,resnet-101,1,4,1,16,1,0,-1,10.0,10.0,0,0,41,1,3000.0,,-1,200.0,200.0,csv/resnet-101/,1,0,-1,"[0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988]",10.0,10.0
12000000.0,0,distribution_csv/resnet-101/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,0,0,4.849219452799689,json/resnet-101_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,resnet-101,1,4,1,32,1,0,-1,10.0,10.0,0,0,41,1,3000.0,,-1,200.0,200.0,csv/resnet-101/,1,0,-1,"[0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988, 0.14387650239999988]",10.0,10.0
12000000.0,0,distribution_csv/resnet-101/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,1,0,0.9708832767999964,json/resnet-101_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,resnet-101,1,4,1,4,1,0,-1,10.0,10.0,0,0,41,1,3000.0,,-1,200.0,200.0,csv/resnet-101/,0,0,-1,"[0.5706460095999926, 0.5706460159999925, 0.5706467903999923, 0.5718410367999924]",10.0,10.0
12000000.0,0,distribution_csv/resnet-101/,1,1,0.176,1.0,0.0,-1,10.0,10.0,0,1,0,1.3904975584000574,json/resnet-101_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,resnet-101,1,4,1,8,1,0,-1,10.0,10.0,0,0,41,1,3000.0,,-1,200.0,200.0,csv/resnet-101/,0,0,-1,"[1.1412719872000436, 1.1412719936000437, 1.1412720000000438, 1.141272006400044, 1.141272012800044, 1.141272019200044, 1.1412720256000441, 1.1424604160000416]",10.0,10.0
