inputs_as_bytes,gswitch_recv_rate,distribution_trace_base_dir,tor_inbuffer_size,message_size,scattercast,tor_send_rate,latency,gswitch_inbuffer_size,horovod,num_gswitches,use_multicast,json,in_network_computation,fwd_pass_time,worker_send_rate,worker_inbuffer_size,step_num,butterfly,num_ps,real_distribution,striping,worker_recv_rate,num_workers,worker_receive_time,iteration_time,MTU,latency_std,ps_send_rate,on_same_rack,topology,fat_tree,verbosity,gswitch_send_rate,tor_recv_rate,ps_inbuffer_size,gradient_size,trace_base_dir,timeout,ps_recv_rate,latency_distribution,model_name,optimal_param_distribution
0,10.0,distribution_csv/resnet-200/,-1,1000000.0,0,100.0,1e-05,-1,0,4,0,json/resnet-200_param_ps_assignment.json,1,0.357,10.0,-1,41,0,1,0,1,10.0,32,"[7.315160972800674, 7.315164176000675, 7.315167379200675, 7.315170582400675, 7.315173785600676, 7.315176988800676, 7.3151801920006765, 7.315183395200677, 7.315186598400677, 7.3151898016006776, 7.315193004800678, 7.315196208000678, 7.315199411200679, 7.315202614400679, 7.315205817600679, 7.31520902080068, 7.31521222400068, 7.31521542720068, 7.315218630400681, 7.3152250368006815, 7.315228240000682, 7.315231443200682, 7.3152346464006825, 7.315237849600683, 7.315241052800683, 7.315244256000684, 7.315247459200684, 7.315250662400684, 7.315253865600685, 7.315257068800685, 7.315260272000685, 7.316357571200657]",7.771437987200656,12000000.0,0.0002,10.0,1,,1,0,10.0,100.0,-1,0.0,csv/resnet-200/,3000.0,10.0,none,resnet-200,0
0,10.0,distribution_csv/resnet-200/,-1,1000000.0,0,100.0,1e-05,-1,0,4,0,json/resnet-200_param_ps_assignment.json,1,0.357,10.0,-1,41,0,8,0,1,10.0,32,"[2.1762353535999535, 2.1762353567999533, 2.176235359999953, 2.176235363199953, 2.1762353663999527, 2.1762353695999526, 2.1762353727999524, 2.176235375999952, 2.176235379199952, 2.176235382399952, 2.1762353855999517, 2.1762353887999515, 2.1762353919999513, 2.176235395199951, 2.1762354015999508, 2.1762354047999506, 2.1762354079999504, 2.1762354111999502, 2.17623541439995, 2.17623541759995, 2.1762354207999497, 2.1762354239999495, 2.1762354271999493, 2.176235430399949, 2.176235433599949, 2.176235436799949, 2.1762354399999486, 2.1762354431999484, 2.1762354463999483, 2.176235449599948, 2.176235452799948, 2.177435251199959]",2.6313158463999495,12000000.0,0.0002,10.0,1,,1,0,10.0,100.0,-1,0.0,csv/resnet-200/,3000.0,10.0,none,resnet-200,0
0,10.0,distribution_csv/resnet-200/,-1,1000000.0,0,100.0,1e-05,-1,0,4,1,json/resnet-200_param_ps_assignment.json,1,0.357,10.0,-1,41,0,1,0,1,10.0,32,"[0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994]",0.8461524256,12000000.0,0.0002,10.0,1,,1,0,10.0,100.0,-1,0.0,csv/resnet-200/,3000.0,10.0,none,resnet-200,0
0,10.0,distribution_csv/resnet-200/,-1,1000000.0,0,100.0,1e-05,-1,0,4,1,json/resnet-200_param_ps_assignment.json,1,0.357,10.0,-1,41,0,8,0,1,10.0,32,"[0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983, 0.2071530911999983]",0.8528252384,12000000.0,0.0002,10.0,1,,1,0,10.0,100.0,-1,0.0,csv/resnet-200/,3000.0,10.0,none,resnet-200,0
0,10.0,distribution_csv/resnet-200/,-1,1000000.0,0,100.0,1e-05,-1,1,4,0,json/resnet-200_param_ps_assignment.json,0,0.357,10.0,-1,41,0,0,0,1,10.0,32,[],0.8252019519999804,12000000.0,0.0002,10.0,1,,1,0,10.0,100.0,-1,0.0,csv/resnet-200/,3000.0,10.0,none,resnet-200,0
0,10.0,distribution_csv/resnet-200/,-1,1000000.0,0,100.0,1e-05,-1,1,4,1,json/resnet-200_param_ps_assignment.json,0,0.357,10.0,-1,41,0,0,0,1,10.0,32,[],0.8087256127999971,12000000.0,0.0002,10.0,1,,1,0,10.0,100.0,-1,0.0,csv/resnet-200/,3000.0,10.0,none,resnet-200,0
0,10.0,distribution_csv/resnet-200/,-1,1000000.0,0,100.0,1e-05,-1,1,4,0,json/resnet-200_param_ps_assignment.json,0,0.357,10.0,-1,41,1,0,0,1,10.0,32,[],1.3866242815998335,12000000.0,0.0002,10.0,1,,1,0,10.0,100.0,-1,0.0,csv/resnet-200/,3000.0,10.0,none,resnet-200,0
0,10.0,distribution_csv/resnet-200/,-1,1000000.0,0,100.0,1e-05,-1,0,4,0,json/resnet-200_param_ps_assignment.json,1,0.357,10.0,-1,42,0,1,0,1,10.0,32,"[7.315160972800674, 7.315164176000675, 7.315167379200675, 7.315170582400675, 7.315173785600676, 7.315176988800676, 7.3151801920006765, 7.315183395200677, 7.315186598400677, 7.3151898016006776, 7.315193004800678, 7.315196208000678, 7.315199411200679, 7.315202614400679, 7.315205817600679, 7.31520902080068, 7.31521222400068, 7.31521542720068, 7.315218630400681, 7.315221833600681, 7.3152250368006815, 7.315228240000682, 7.315231443200682, 7.315237849600683, 7.315241052800683, 7.315244256000684, 7.315247459200684, 7.315250662400684, 7.315253865600685, 7.315257068800685, 7.315260272000685, 7.316357571200657]",7.774270217600676,12000000.0,0.0002,10.0,1,,1,0,10.0,100.0,-1,0.0,csv/resnet-200/,3000.0,10.0,none,resnet-200,0
0,10.0,distribution_csv/resnet-200/,-1,1000000.0,0,100.0,1e-05,-1,0,4,0,json/resnet-200_param_ps_assignment.json,1,0.357,10.0,-1,42,0,8,0,1,10.0,32,"[2.1762353535999535, 2.1762353567999533, 2.176235359999953, 2.176235363199953, 2.1762353663999527, 2.1762353727999524, 2.176235375999952, 2.176235379199952, 2.176235382399952, 2.1762353855999517, 2.1762353887999515, 2.1762353919999513, 2.176235395199951, 2.176235398399951, 2.1762354015999508, 2.1762354047999506, 2.1762354079999504, 2.1762354111999502, 2.17623541439995, 2.17623541759995, 2.1762354207999497, 2.1762354239999495, 2.1762354271999493, 2.176235430399949, 2.176235433599949, 2.176235436799949, 2.1762354399999486, 2.1762354431999484, 2.1762354463999483, 2.176235449599948, 2.176235452799948, 2.177435251199959]",2.635315859199949,12000000.0,0.0002,10.0,1,,1,0,10.0,100.0,-1,0.0,csv/resnet-200/,3000.0,10.0,none,resnet-200,0
0,10.0,distribution_csv/resnet-200/,-1,1000000.0,0,100.0,1e-05,-1,0,4,1,json/resnet-200_param_ps_assignment.json,1,0.357,10.0,-1,42,0,1,0,1,10.0,32,"[0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994, 0.2298211583999994]",0.8461524256,12000000.0,0.0002,10.0,1,,1,0,10.0,100.0,-1,0.0,csv/resnet-200/,3000.0,10.0,none,resnet-200,0
