MTU,butterfly,distribution_trace_base_dir,fat_tree,forward_pass_as_bytes,fwd_pass_time,gpu_speedup,gradient_size,gswitch_inbuffer_size,gswitch_recv_rate,gswitch_send_rate,horovod,in_network_computation,inputs_as_bytes,iteration_time,json,latency,latency_distribution,latency_std,max_param_size,message_size,model_name,multi_step,num_gswitches,num_ps,num_workers,on_same_rack,optimal_param_distribution,ps_inbuffer_size,ps_recv_rate,ps_send_rate,real_distribution,scattercast,step_num,striping,timeout,topology,tor_inbuffer_size,tor_recv_rate,tor_send_rate,trace_base_dir,use_multicast,verbosity,worker_inbuffer_size,worker_receive_time,worker_recv_rate,worker_send_rate
12000000.0,0,distribution_csv/resnet-200/,1,1,0.357,1.0,0.0,-1,10.0,10.0,1,0,0,0.8117645887999988,json/resnet-200_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,resnet-200,1,4,0,4,1,0,-1,25.0,25.0,0,0,31,1,3000.0,,-1,200.0,200.0,csv/resnet-200/,0,0,-1,[],25.0,25.0
12000000.0,0,distribution_csv/resnet-200/,1,1,0.357,1.0,0.0,-1,10.0,10.0,1,0,0,0.8131526758399985,json/resnet-200_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,resnet-200,1,4,0,8,1,0,-1,25.0,25.0,0,0,31,1,3000.0,,-1,200.0,200.0,csv/resnet-200/,0,0,-1,[],25.0,25.0
12000000.0,0,distribution_csv/resnet-200/,1,1,0.357,1.0,0.0,-1,10.0,10.0,1,0,0,0.8230343654399945,json/resnet-200_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,resnet-200,1,4,0,16,1,0,-1,25.0,25.0,0,0,31,1,3000.0,,-1,200.0,200.0,csv/resnet-200/,0,0,-1,[],25.0,25.0
12000000.0,0,distribution_csv/resnet-200/,1,1,0.357,1.0,0.0,-1,10.0,10.0,1,0,0,0.826701813759986,json/resnet-200_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,resnet-200,1,4,0,32,1,0,-1,25.0,25.0,0,0,31,1,3000.0,,-1,200.0,200.0,csv/resnet-200/,0,0,-1,[],25.0,25.0
12000000.0,0,distribution_csv/resnet-200/,1,1,0.357,1.0,0.0,-1,10.0,10.0,1,0,0,0.7957645887999988,json/resnet-200_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,resnet-200,1,4,0,4,1,0,-1,25.0,25.0,0,0,32,1,3000.0,,-1,200.0,200.0,csv/resnet-200/,0,0,-1,[],25.0,25.0
12000000.0,0,distribution_csv/resnet-200/,1,1,0.357,1.0,0.0,-1,10.0,10.0,1,0,0,0.8179172646399974,json/resnet-200_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,resnet-200,1,4,0,8,1,0,-1,25.0,25.0,0,0,32,1,3000.0,,-1,200.0,200.0,csv/resnet-200/,0,0,-1,[],25.0,25.0
12000000.0,0,distribution_csv/resnet-200/,1,1,0.357,1.0,0.0,-1,10.0,10.0,1,0,0,0.8193242956799945,json/resnet-200_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,resnet-200,1,4,0,16,1,0,-1,25.0,25.0,0,0,32,1,3000.0,,-1,200.0,200.0,csv/resnet-200/,0,0,-1,[],25.0,25.0
12000000.0,0,distribution_csv/resnet-200/,1,1,0.357,1.0,0.0,-1,10.0,10.0,1,0,0,0.8257362227199895,json/resnet-200_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,resnet-200,1,4,0,32,1,0,-1,25.0,25.0,0,0,32,1,3000.0,,-1,200.0,200.0,csv/resnet-200/,0,0,-1,[],25.0,25.0
12000000.0,0,distribution_csv/resnet-200/,1,1,0.357,1.0,0.0,-1,10.0,10.0,1,0,0,0.6707645068799988,json/resnet-200_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,resnet-200,1,4,0,4,1,0,-1,25.0,25.0,0,0,33,1,3000.0,,-1,200.0,200.0,csv/resnet-200/,0,0,-1,[],25.0,25.0
12000000.0,0,distribution_csv/resnet-200/,1,1,0.357,1.0,0.0,-1,10.0,10.0,1,0,0,0.8169172646399973,json/resnet-200_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,resnet-200,1,4,0,8,1,0,-1,25.0,25.0,0,0,33,1,3000.0,,-1,200.0,200.0,csv/resnet-200/,0,0,-1,[],25.0,25.0
