vgg16
,default,agg,multicast,multiagg,ring-reduce,ring-reduce+multicast,butterfly
1.0,16.833,8.912,8.680,0.765,0.683,0.683,1.491
1.5,16.833,8.918,8.680,0.765,0.626,0.627,1.434
2.0,16.833,8.910,8.680,0.765,0.598,0.598,1.405
2.5,16.833,8.901,8.680,0.765,0.581,0.581,1.388
3.0,16.833,8.914,8.680,0.761,0.570,0.570,1.375

resnet-200
,default,agg,multicast,multiagg,ring-reduce,ring-reduce+multicast,butterfly
1.0,5.559,3.383,3.000,0.830,0.824,0.822,0.819
1.5,5.562,3.234,2.881,0.557,0.559,0.549,0.672
2.0,5.557,3.157,2.823,0.421,0.426,0.413,0.606
2.5,5.555,3.111,2.787,0.339,0.351,0.332,0.573
3.0,5.557,3.080,2.764,0.285,0.313,0.293,0.547

resnet-101
,default,agg,multicast,multiagg,ring-reduce,ring-reduce+multicast,butterfly
1.0,3.644,2.205,2.042,0.598,0.556,0.522,0.564
1.5,3.652,2.074,1.985,0.415,0.391,0.375,0.441
2.0,3.650,2.015,1.955,0.320,0.311,0.283,0.415
2.5,3.650,1.978,1.936,0.265,0.253,0.229,0.387
3.0,3.649,1.953,1.926,0.228,0.233,0.206,0.372

inception-v3
,default,agg,multicast,multiagg,ring-reduce,ring-reduce+multicast,butterfly
1.0,1.884,1.406,1.117,0.569,0.562,0.563,0.552
1.5,1.881,1.289,1.062,0.387,0.391,0.378,0.374
2.0,1.879,1.219,1.033,0.296,0.303,0.282,0.280
2.5,1.889,1.186,1.005,0.242,0.255,0.230,0.229
3.0,1.878,1.164,0.998,0.204,0.227,0.192,0.213

