inputs_as_bytes,gswitch_recv_rate,distribution_trace_base_dir,tor_inbuffer_size,scattercast,tor_send_rate,latency,gswitch_inbuffer_size,horovod,num_gswitches,use_multicast,json,in_network_computation,fwd_pass_time,worker_send_rate,worker_inbuffer_size,step_num,num_ps,real_distribution,striping,worker_recv_rate,num_workers,worker_receive_time,iteration_time,MTU,latency_std,ps_send_rate,on_same_rack,topology,fat_tree,verbosity,gswitch_send_rate,tor_recv_rate,ps_inbuffer_size,gradient_size,trace_base_dir,timeout,ps_recv_rate,latency_distribution,model_name,optimal_param_distribution
0,10.0,distribution_csv/vgg16/,-1,0,100.0,1e-05,-1,0,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,24,1,0,1,10,8,"[5.26004657916573, 5.26004978236573, 5.26005298556573, 5.260056188765731, 5.260059391965731, 5.260062595165731, 5.260065798365732, 5.260069001565732]",10.520123507122381,120000.0,0.0002,10,1,,1,0,10.0,100.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,10.0,distribution_csv/vgg16/,-1,0,100.0,1e-05,-1,0,4,0,json/vgg16_param_ps_assignment.json,0,0.169,25,-1,24,1,0,1,25,8,"[2.1040306316696715, 2.1040319129496714, 2.1040331942296713, 2.104034475509671, 2.104035756789671, 2.104037038069671, 2.104038319349671, 2.1040396006296707]",4.208071165490158,120000.0,0.0002,25,1,,1,0,10.0,100.0,-1,0.0,csv/vgg16/,3000.0,25,none,vgg16,0
0,10.0,distribution_csv/vgg16/,-1,0,100.0,1e-05,-1,0,4,0,json/vgg16_param_ps_assignment.json,0,0.169,50,-1,24,1,0,1,50,8,"[1.0520253158348358, 1.0520259564748358, 1.0520270662348352, 1.0520272377548356, 1.0520278783948356, 1.0520285190348355, 1.0520291596748355, 1.0520298003148354]",2.104056223385079,120000.0,0.0002,50,1,,1,0,10.0,100.0,-1,0.0,csv/vgg16/,3000.0,50,none,vgg16,0
0,10.0,distribution_csv/vgg16/,-1,0,100.0,1e-05,-1,0,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,24,8,0,1,10,8,"[4.519487756771824, 4.519487763171824, 4.5194877663718245, 4.519487769571825, 4.519487772771825, 4.519487775971825, 4.5194877791718255, 4.5194997311718215]",9.052135766334436,120000.0,0.0002,10,1,,1,0,10.0,100.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,10.0,distribution_csv/vgg16/,-1,0,100.0,1e-05,-1,0,4,0,json/vgg16_param_ps_assignment.json,0,0.169,100,-1,24,1,0,1,100,8,"[0.5260226579174178, 0.5260229782374177, 0.5260232985574177, 0.5260236188774177, 0.5260239391974176, 0.5260242595174176, 0.5260245798374176, 0.5260249001574175]",1.0520477913725392,120000.0,0.0002,100,1,,1,0,10.0,100.0,-1,0.0,csv/vgg16/,3000.0,100,none,vgg16,0
0,10.0,distribution_csv/vgg16/,-1,0,100.0,1e-05,-1,0,4,0,json/vgg16_param_ps_assignment.json,0,0.169,25,-1,24,8,0,1,25,8,"[1.8078071039900439, 1.807807105270044, 1.807807106550044, 1.8078071078300442, 1.8078071091100443, 1.8078071103900444, 1.8078071116700445, 1.8078118924700428]",3.6423483622739052,120000.0,0.0002,25,1,,1,0,10.0,100.0,-1,0.0,csv/vgg16/,3000.0,25,none,vgg16,0
0,10.0,distribution_csv/vgg16/,-1,0,100.0,1e-05,-1,0,4,0,json/vgg16_param_ps_assignment.json,0,0.169,50,-1,24,8,0,1,50,8,"[0.9039135513550217, 0.9039135519950218, 0.9039135532750219, 0.9039135539150219, 0.903913554555022, 0.903913555195022, 0.9039135558350221, 0.9039159462350213]",1.8211941766569526,120000.0,0.0002,50,1,,1,0,10.0,100.0,-1,0.0,csv/vgg16/,3000.0,50,none,vgg16,0
0,10.0,distribution_csv/vgg16/,-1,0,100.0,1e-05,-1,0,4,0,json/vgg16_param_ps_assignment.json,0,0.169,100,-1,24,8,0,1,100,8,"[0.4519667756775109, 0.45196677599751095, 0.451966776317511, 0.451966776637511, 0.45196677695751103, 0.4519667775975111, 0.4519667779175111, 0.4519679731175107]",0.9052496899283227,120000.0,0.0002,100,1,,1,0,10.0,100.0,-1,0.0,csv/vgg16/,3000.0,100,none,vgg16,0
0,10.0,distribution_csv/vgg16/,-1,0,100.0,1e-05,-1,0,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,24,1,0,1,10,16,"[10.520066751922295, 10.520069955122295, 10.520075452722287, 10.520076361522296, 10.520079564722296, 10.520082767922297, 10.520085971122297, 10.520089174322298, 10.520092377522298, 10.520095580722298, 10.520098783922299, 10.520101987122299, 10.5201051903223, 10.5201083935223, 10.5201115967223, 10.5201147999223]",21.04018860858124,120000.0,0.0002,10,1,,1,0,10.0,100.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,10.0,distribution_csv/vgg16/,-1,0,100.0,1e-05,-1,0,4,0,json/vgg16_param_ps_assignment.json,0,0.169,25,-1,24,1,0,1,25,16,"[4.208038700850184, 4.208039982130185, 4.208041263410185, 4.208042544690185, 4.208043825970186, 4.208045107250186, 4.208046388530186, 4.2080476698101865, 4.208048951090187, 4.208050232370187, 4.2080515136501875, 4.208052794930188, 4.208054076210188, 4.208055357490188, 4.208056638770189, 4.208057920050189]",8.416098487134125,120000.0,0.0002,25,1,,1,0,10.0,100.0,-1,0.0,csv/vgg16/,3000.0,25,none,vgg16,0
