inputs_as_bytes,gswitch_recv_rate,distribution_trace_base_dir,tor_inbuffer_size,tor_send_rate,latency,gswitch_inbuffer_size,num_gswitches,use_multicast,json,in_network_computation,fwd_pass_time,worker_send_rate,worker_inbuffer_size,step_num,num_ps,striping,worker_recv_rate,num_workers,worker_receive_time,iteration_time,MTU,latency_std,ps_send_rate,on_same_rack,topology,fat_tree,verbosity,gswitch_send_rate,tor_recv_rate,ps_inbuffer_size,gradient_size,trace_base_dir,timeout,ps_recv_rate,latency_distribution,model_name,optimal_param_distribution
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,1,0,10,2,"[0.08431705279999419, 0.1666221056000257]",0.5773533439999938,120000.0,0.0002,10,1,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,2,0,10,2,"[0.08887093439999323, 0.1756187328000365]",0.5444523071999933,120000.0,0.0002,10,1,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,4,0,10,2,"[0.0888709407999933, 0.0970788415999921]",0.5403106591999938,120000.0,0.0002,10,1,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,8,0,10,2,"[0.08887092799999333, 0.09055831039999286]",0.5423226527999936,120000.0,0.0002,10,1,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,1,0,10,4,"[0.08431705279999419, 0.1666221056000257, 0.2489271584001036, 0.33123221120018215]",0.7409634496001503,120000.0,0.0002,10,1,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,2,0,10,4,"[0.08887093439999323, 0.1756187328000365, 0.26242209920011905, 0.34922546560020273]",0.7090590400001204,120000.0,0.0002,10,1,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,4,0,10,4,"[0.11982183679998884, 0.14461226240000585, 0.15909178240001878, 0.19214568320005154]",0.6005315008000166,120000.0,0.0002,10,1,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,8,0,10,4,"[0.08886916479999332, 0.08887094079999328, 0.10943306239999039, 0.1263423679999881]",0.5353208895999935,120000.0,0.0002,10,1,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,42,1,0,10,2,"[0.08431705279999419, 0.1666221056000257]",0.5893533439999938,120000.0,0.0002,10,1,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,42,2,0,10,2,"[0.08887093439999323, 0.1756187328000365]",0.5474523071999933,120000.0,0.0002,10,1,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
