inputs_as_bytes,gswitch_recv_rate,distribution_trace_base_dir,tor_inbuffer_size,tor_send_rate,latency,gswitch_inbuffer_size,num_gswitches,use_multicast,json,in_network_computation,fwd_pass_time,worker_send_rate,worker_inbuffer_size,step_num,num_ps,striping,worker_recv_rate,num_workers,worker_receive_time,iteration_time,MTU,latency_std,ps_send_rate,on_same_rack,topology,fat_tree,verbosity,gswitch_send_rate,tor_recv_rate,ps_inbuffer_size,gradient_size,trace_base_dir,timeout,ps_recv_rate,latency_distribution,model_name,optimal_param_distribution
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,1,0,10,2,"[0.08833625279999419, 0.16863170560002788]",0.590365155839996,120000.0,0.0002,10,0,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,2,0,10,2,"[0.09289901631999263, 0.1796379328000411]",0.5434759308799934,120000.0,0.0002,10,0,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,4,0,10,2,"[0.09484415359999353, 0.10310757247999225]",0.5432894015999942,120000.0,0.0002,10,0,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,8,0,10,2,"[0.09486095999999243, 0.09688234879999212]",0.5449839167999941,120000.0,0.0002,10,0,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,1,0,10,4,"[0.08833625279999419, 0.1706413056000301, 0.2509367584001036, 0.3372562112001823]",0.7559929792001505,120000.0,0.0002,10,0,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,2,0,10,4,"[0.0948393663999934, 0.1796379328000411, 0.2644316992001191, 0.35324466560020285]",0.7170731200001204,120000.0,0.0002,10,0,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,4,0,10,4,"[0.14036798720000127, 0.14662186240000813, 0.16512052480001896, 0.19817426560005105]",0.6135654976000167,120000.0,0.0002,10,0,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,8,0,10,4,"[0.09288693759999264, 0.09685751679999212, 0.11735361791999034, 0.1396025024000024]",0.5728116095999907,120000.0,0.0002,10,0,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,1,0,10,8,"[0.08833625279999419, 0.1726461056000324, 0.25695435840010367, 0.33525141120018226, 0.4195612640002608, 0.5018663168003392, 0.5801569696004282, 0.6664764224005173]",1.0842131904004781,120000.0,0.0002,10,0,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,2,0,10,8,"[0.09690693759999207, 0.1816427328000433, 0.26644129920011916, 0.3552494656002029, 0.44405603200028654, 0.5248417984003718, 0.6156597836802039, 0.7004584652803688]",1.0632961292804692,120000.0,0.0002,10,0,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,4,0,10,8,"[0.1753863424000365, 0.20639365120005662, 0.2437029888000937, 0.28493356160013417, 0.2952444352001396, 0.3242033856001725, 0.34277774080018575, 0.3903065664002381]",0.7876493708801704,120000.0,0.0002,10,0,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,8,0,10,8,"[0.12035440255998978, 0.14138787199999986, 0.15752445312001934, 0.16826330880003057, 0.18351196928003435, 0.18580298240003956, 0.18714430080003872, 0.2132014656000646]",0.6082995264000071,120000.0,0.0002,10,0,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,1,0,10,16,"[0.09034105279999419, 0.17464930560003475, 0.25294635840010365, 0.33525141120018226, 0.4155468640002607, 0.5058719168003392, 0.5841713696004283, 0.6684796224005174, 0.7507846752006065, 0.8330897280006957, 0.9133915808007848, 0.997699833600874, 1.0800048864003227, 1.160306739199659, 1.2446149919989953, 1.3269200447983316]",1.7753524972792671,120000.0,0.0002,10,0,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,2,0,10,16,"[0.0968425663999934, 0.1816427328000433, 0.2684460992001192, 0.3592552294400659, 0.44405603200028654, 0.5308595342935231, 0.617663010560284, 0.7064685414401244, 0.7892662976006575, 0.8740648640007528, 0.964876230400848, 1.049676396800559, 1.1324653631998585, 1.225286329599157, 1.3120897830399205, 1.3948850623977553]",1.7587135441051105,120000.0,0.0002,10,0,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
0,25.0,distribution_csv/inception-v3/,-1,25.0,0.001,-1,4,0,json/inception-v3_param_ps_assignment.json,0,0.176,10,-1,41,4,0,10,16,"[0.09887369087999183, 0.21465240320007276, 0.3447755456001915, 0.35946436288007066, 0.4007355520000247, 0.4440131872001034, 0.47927534720031484, 0.4873779520003208, 0.534911417600371, 0.5598206182404104, 0.5824441388801076, 0.6299796275203372, 0.6383599168000812, 0.6775117792001473, 0.7250445408001326, 0.7665659328006279]",1.089805902080077,120000.0,0.0002,10,0,,1,0,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10,none,inception-v3,0
