multicast,aggregation,num_ps,num_workers,median,neg bar,pos bar
BW: 10Gbps, Striping: 0, Optimal Param Distribution: 1, On Same Rack: 1,,,
0 Multicast,1 Agg,,,,,
0,1,1,2,0.0,13.5974,11.9524
0,1,1,4,0.4027,11.0262,9.1992
0,1,1,8,-0.7512,10.1916,3.478
0,1,1,16,-1.0402,1.6209,5.873
0,1,1,32,0.1312,7.7476,7.6531
,,,,,,
0,1,2,2,0.0,4.508,4.2388
0,1,2,4,2.1995,4.5455,6.01
0,1,2,8,-1.752,5.9731,6.4428
0,1,2,16,5.7029,6.7045,2.0983
0,1,2,32,0.0563,2.4735,4.1915
,,,,,,
0,1,4,2,1.0004,3.7944,0.3796
0,1,4,4,1.8379,3.9854,1.7996
0,1,4,8,-1.2533,1.7001,5.7056
0,1,4,16,0.0,13.3551,14.6106
0,1,4,32,-3.7028,27.2555,11.1108
,,,,,,
0,1,8,2,0.7627,2.4255,1.3216
0,1,8,4,0.7207,1.509,0.6137
0,1,8,8,0.7514,1.9189,1.2486
0,1,8,16,2.7016,4.092,35.7099
0,1,8,32,1.09,8.2458,3.906
,,,,,,
1 Multicast,0 Agg,,,,,
1,0,1,2,11.9524,11.9524,2.3259
1,0,1,4,30.2282,8.9684,1.8367
1,0,1,8,26.2316,0.9043,3.4525
1,0,1,16,21.8395,0.7994,3.2963
1,0,1,32,18.7867,2.394,4.1786
,,,,,,
1,0,2,2,3.3712,0.6157,4.3269
1,0,2,4,16.2321,4.6709,2.8044
1,0,2,8,30.2139,9.1443,4.9793
1,0,2,16,31.5865,24.208,2.9344
1,0,2,32,24.0315,3.0456,2.2133
,,,,,,
1,0,4,2,2.7599,1.3629,2.2035
1,0,4,4,7.5477,2.4821,2.771
1,0,4,8,15.0536,2.5268,4.622
1,0,4,16,30.5002,6.6895,12.0635
1,0,4,32,31.7077,1.7428,3.7273
,,,,,,
1,0,8,2,3.4208,1.3398,2.1348
1,0,8,4,4.9955,1.0542,1.5711
1,0,8,8,6.6469,1.9594,1.4433
1,0,8,16,15.8381,94.3064,37.6652
1,0,8,32,24.3243,46.5414,10.0808
,,,,,,
1 Multicast,1 Agg,,,,,
1,1,1,2,11.9524,11.9524,2.3432
1,1,1,4,30.3714,9.1116,2.783
1,1,1,8,48.3671,5.4191,3.8234
1,1,1,16,65.147,5.7814,1.8925
1,1,1,32,76.6051,10.6545,4.7367
,,,,,,
1,1,2,2,3.3712,0.6157,4.3269
1,1,2,4,16.2321,4.6709,2.8044
1,1,2,8,30.2139,9.1443,4.9793
1,1,2,16,45.3925,13.8184,9.2433
1,1,2,32,64.8055,22.4768,2.006
,,,,,,
1,1,4,2,2.7599,1.3629,2.2035
1,1,4,4,7.5477,2.4821,2.771
1,1,4,8,15.0536,2.5268,4.622
1,1,4,16,30.5002,8.8233,8.8798
1,1,4,32,44.0283,33.578,5.2335
,,,,,,
1,1,8,2,3.4208,1.3398,2.1348
1,1,8,4,4.9955,1.0542,1.5711
1,1,8,8,6.6469,1.9594,1.4433
1,1,8,16,15.9907,12.3911,40.6553
1,1,8,32,29.731,27.0283,3.6023
,,,,,,
multicast + aggregation vs. multicast info
1,1,1,2,0.0,0.0,0.0202
1,1,1,4,0.0,0.0,4.1939
1,1,1,8,28.2545,7.465,6.9352
1,1,1,16,55.443,7.4314,1.2807
1,1,1,32,72.0181,13.721,3.7614
,,,,,,
1,1,2,2,0.0,0.0,0.0
1,1,2,4,0.0,0.0,0.0
1,1,2,8,0.0,0.0,0.0
1,1,2,16,24.5938,27.964,9.559
1,1,2,32,55.458,31.3727,0.4681
,,,,,,
1,1,4,2,0.0,0.0,0.0
1,1,4,4,0.0,0.0,0.0
1,1,4,8,0.0,0.0,0.0
1,1,4,16,-1.2281,10.2683,16.6622
1,1,4,32,15.8103,46.9374,8.0973
,,,,,,
1,1,8,2,0.0,0.0,0.0
1,1,8,4,0.0,0.0,0.0
1,1,8,8,0.0,0.0,0.0
1,1,8,16,-0.3289,1.7988,53.2565
1,1,8,32,-0.4934,28.078,42.9981
,,,,,,
