multicast,aggregation,num_ps,num_workers,median,neg bar,pos bar
BW: 10Gbps, Striping: 1, Optimal Param Distribution: 1, On Same Rack: 1,,,
0 Multicast,1 Agg,,,,,
0,1,1,2,0.0,1.0897,0.0
0,1,1,4,-1.1342,0.1514,2.4138
0,1,1,8,15.1841,6.0497,4.6919
0,1,1,16,29.1862,1.9792,3.0454
0,1,1,32,36.1446,1.1329,2.1509
,,,,,,
0,1,2,2,0.0,0.2804,0.388
0,1,2,4,0.0,0.6254,1.0779
0,1,2,8,-1.1026,1.4523,1.7056
0,1,2,16,11.9737,53.4639,3.3229
0,1,2,32,28.7461,15.0049,3.0211
,,,,,,
0,1,4,2,0.0,0.1704,0.1704
0,1,4,4,-0.1788,0.3837,0.427
0,1,4,8,0.2783,0.8165,0.3422
0,1,4,16,1.6706,96.4694,34.6339
0,1,4,32,17.8096,4.5371,9.5602
,,,,,,
0,1,8,2,0.0,0.0,0.0312
0,1,8,4,0.0,0.036,0.0376
0,1,8,8,0.0178,0.2508,0.276
0,1,8,16,-3.2829,9.0695,28.6096
0,1,8,32,-0.8222,15.9682,4.9889
,,,,,,
1 Multicast,0 Agg,,,,,
1,0,1,2,12.8273,2.4194,0.6512
1,0,1,4,8.9829,1.1179,1.188
1,0,1,8,29.3004,0.4019,0.7213
1,0,1,16,40.2494,1.7284,0.7269
1,0,1,32,45.32,0.982,0.2998
,,,,,,
1,0,2,2,0.5866,0.4776,0.0342
1,0,2,4,12.8473,1.9991,0.9642
1,0,2,8,9.0357,1.6714,1.3593
1,0,2,16,29.6491,2.1677,1.0457
1,0,2,32,40.6025,1.6043,1.489
,,,,,,
1,0,4,2,0.0,0.0,0.1704
1,0,4,4,0.3576,0.1701,0.2594
1,0,4,8,12.0568,0.9778,1.0414
1,0,4,16,14.6069,67.1795,27.3871
1,0,4,32,30.726,0.9707,10.8069
,,,,,,
1,0,8,2,0.0,0.0,0.0312
1,0,8,4,0.0,0.0,0.0376
1,0,8,8,0.303,0.2031,0.0835
1,0,8,16,4.2736,32.4923,21.0994
1,0,8,32,8.8152,48.4588,1.6553
,,,,,,
1 Multicast,1 Agg,,,,,
1,1,1,2,12.8273,2.4194,0.6512
1,1,1,4,10.0583,2.1669,1.4316
1,1,1,8,48.7055,4.756,4.3249
1,1,1,16,72.5393,17.0229,1.2551
1,1,1,32,86.2028,9.2752,0.8771
,,,,,,
1,1,2,2,0.5866,0.4776,0.0342
1,1,2,4,12.8473,1.9991,0.9642
1,1,2,8,9.0357,1.6714,1.3593
1,1,2,16,45.3056,9.3845,6.5768
1,1,2,32,70.6268,15.7714,4.4716
,,,,,,
1,1,4,2,0.0,0.0,0.1704
1,1,4,4,0.3576,0.1701,0.2594
1,1,4,8,12.0568,0.9778,1.0414
1,1,4,16,8.3059,53.5785,36.6684
1,1,4,32,46.2134,22.1802,1.3361
,,,,,,
1,1,8,2,0.0,0.0,0.0312
1,1,8,4,0.0,0.0,0.0376
1,1,8,8,0.303,0.2031,0.0835
1,1,8,16,6.3232,9.3425,11.8713
1,1,8,32,9.164,23.888,8.0533
,,,,,,
multicast + aggregation vs. multicast info
1,1,1,2,0.0,0.0,0.0
1,1,1,4,0.0,0.0,3.9343
1,1,1,8,27.0684,7.1654,6.6866
1,1,1,16,53.8632,29.1501,3.5115
1,1,1,32,74.7155,16.9108,1.7282
,,,,,,
1,1,2,2,0.0,0.0,0.0
1,1,2,4,0.0,0.0,0.0
1,1,2,8,0.0,0.0,0.0
1,1,2,16,23.3563,14.0051,7.4372
1,1,2,32,51.1949,29.1534,7.5614
,,,,,,
1,1,4,2,0.0,0.0,0.0
1,1,4,4,0.0,0.0,0.0
1,1,4,8,0.0,0.0,0.0
1,1,4,16,-7.3788,52.4369,48.452
1,1,4,32,21.3918,51.3226,2.7579
,,,,,,
1,1,8,2,0.0,0.0,0.0
1,1,8,4,0.0,0.0,0.0
1,1,8,8,0.0,0.0,0.0
1,1,8,16,0.7736,12.2411,27.7247
1,1,8,32,0.3038,12.4666,17.5414
,,,,,,
