multicast,aggregation,num_ps,num_workers,median,neg bar,pos bar
BW: 10Gbps, Striping: 1, Optimal Param Distribution: 0, On Same Rack: 1,,,
0 Multicast,1 Agg,,,,,
0,1,1,2,0.0,0.0,0.0
0,1,1,4,0.0,0.0,3.2836
0,1,1,8,17.5423,8.4079,3.7941
0,1,1,16,27.7023,12.745,3.8945
0,1,1,32,35.6375,4.9452,1.9033
,,,,,,
0,1,2,2,0.0,0.0,0.0
0,1,2,4,0.0,0.0,3.3603
0,1,2,8,17.6742,4.8032,4.5732
0,1,2,16,30.6757,0.8694,2.9913
0,1,2,32,35.7977,6.1606,2.3382
,,,,,,
0,1,4,2,-0.4904,0.9627,1.2781
0,1,4,4,-0.0705,0.0133,0.1508
0,1,4,8,0.0584,0.0584,6.7194
0,1,4,16,19.8606,26.9899,3.5249
0,1,4,32,33.0391,13.0162,1.1707
,,,,,,
0,1,8,2,-0.0579,0.2113,0.4353
0,1,8,4,0.1262,0.9761,0.6815
0,1,8,8,0.0,0.0283,0.155
0,1,8,16,0.2458,9.3025,41.4111
0,1,8,32,17.3907,20.7719,4.1937
,,,,,,
1 Multicast,0 Agg,,,,,
1,0,1,2,8.393,1.0506,0.4963
1,0,1,4,21.5364,2.4275,0.1687
1,0,1,8,32.3275,0.5733,0.6782
1,0,1,16,41.9844,1.8999,3.3384
1,0,1,32,46.0874,1.2617,1.3854
,,,,,,
1,0,2,2,0.3331,0.0486,0.0238
1,0,2,4,26.1493,3.0315,0.2197
1,0,2,8,40.7364,0.6651,0.933
1,0,2,16,48.26,1.5857,0.8437
1,0,2,32,51.291,0.7211,1.1974
,,,,,,
1,0,4,2,0.6597,0.5842,0.7904
1,0,4,4,11.7694,1.428,0.5128
1,0,4,8,26.6038,0.9092,0.8812
1,0,4,16,36.4248,2.2585,8.535
1,0,4,32,44.1225,0.8131,0.8289
,,,,,,
1,0,8,2,-0.0792,0.0319,0.5778
1,0,8,4,0.9222,0.5418,0.8622
1,0,8,8,10.9688,0.682,0.7364
1,0,8,16,27.0264,19.5926,34.3139
1,0,8,32,37.5762,9.5029,0.842
,,,,,,
1 Multicast,1 Agg,,,,,
1,1,1,2,8.393,1.0506,0.4963
1,1,1,4,21.5686,2.4597,3.4201
1,1,1,8,51.595,4.6616,4.3108
1,1,1,16,74.0996,6.5517,1.5144
1,1,1,32,86.1111,3.7612,0.9357
,,,,,,
1,1,2,2,0.3331,0.0486,0.0238
1,1,2,4,26.1897,3.0719,3.5396
1,1,2,8,58.7179,4.1776,3.8494
1,1,2,16,77.9715,0.4435,0.1876
1,1,2,32,88.8758,13.6037,0.1219
,,,,,,
1,1,4,2,0.6597,0.5842,0.7904
1,1,4,4,11.7694,1.428,0.5128
1,1,4,8,27.1193,1.4247,6.2503
1,1,4,16,54.1593,26.1351,5.9524
1,1,4,32,77.5492,8.83,0.654
,,,,,,
1,1,8,2,-0.0792,0.0319,0.5778
1,1,8,4,0.9222,0.5418,0.8622
1,1,8,8,10.9688,0.682,0.7364
1,1,8,16,28.2392,12.2631,30.5061
1,1,8,32,57.9314,4.2102,0.4658
,,,,,,
multicast + aggregation vs. multicast info
1,1,1,2,0.0,0.0,0.0202
1,1,1,4,0.0,0.0,4.1939
1,1,1,8,28.2545,7.465,6.9352
1,1,1,16,54.7173,8.9237,0.6827
1,1,1,32,74.0337,6.4278,1.94
,,,,,,
1,1,2,2,0.0,0.0,0.0
1,1,2,4,0.0,0.0,4.5637
1,1,2,8,29.969,7.9035,7.3087
1,1,2,16,57.1723,0.6049,1.5184
1,1,2,32,77.1619,28.0233,0.4937
,,,,,,
1,1,4,2,0.0,0.0,0.0
1,1,4,4,0.0,0.0,0.0
1,1,4,8,0.0,0.0,9.2181
1,1,4,16,27.5288,38.0281,6.1464
1,1,4,32,59.8579,15.0583,0.9307
,,,,,,
1,1,8,2,0.0,0.0,0.0
1,1,8,4,0.0,0.0,0.0
1,1,8,8,0.0,0.0,0.0
1,1,8,16,-0.3175,21.3811,15.1643
1,1,8,32,32.608,3.7778,8.8231
,,,,,,
