num_ps,num_workers,median,neg bar,pos bar
1,2,8.393,1.0506,0.4963
1,4,20.854,1.8071,0.732
1,8,18.527,3.7715,5.0345
1,16,17.5887,2.741,16.348
1,32,17.0492,2.5145,9.0275
,,,,
2,2,0.4739,0.1772,0.0677
2,4,8.4076,1.0987,0.4003
2,8,20.2929,1.2093,1.2435
2,16,23.8531,1.8963,14.1292
2,32,19.7017,2.4026,2.8197
,,,,
4,2,0.0,0.0,0.2024
4,4,0.324,0.1103,0.2141
4,8,7.8326,0.5348,0.5923
4,16,19.4515,9.5058,8.5208
4,32,24.4826,50.5387,11.7132
,,,,
8,2,0.0,0.0,0.0
8,4,0.0,0.0,0.0381
8,8,0.2123,0.0977,0.2607
8,16,6.7036,10.6632,7.4676
8,32,15.0319,46.1816,5.6051
,,,,
