num_ps,num_workers,median,neg bar,pos bar
1,2,8.393,1.0506,0.4963
1,4,21.5364,2.4275,0.1687
1,8,32.3275,0.6871,0.7364
1,16,42.2368,1.8164,1.0751
1,32,46.3246,1.3624,1.5076
,,,,
2,2,0.5407,0.2558,0.1242
2,4,8.4076,1.0987,0.4003
2,8,20.2929,1.2093,1.2435
2,16,32.7746,1.1846,0.7969
2,32,42.2794,1.1007,0.4541
,,,,
4,2,0.0,0.0,0.1645
4,4,0.3228,0.1704,0.3066
4,8,7.8326,0.5348,0.5923
4,16,18.1687,8.3424,5.9654
4,32,33.0685,39.6279,20.138
,,,,
8,2,0.0,0.0,0.0
8,4,0.0,0.0,0.0382
8,8,0.2779,0.126,0.0827
8,16,7.1679,11.5727,12.7484
8,32,9.5865,40.3893,14.423
,,,,
