inputs_as_bytes,gswitch_recv_rate,tor_inbuffer_size,tor_send_rate,latency,gswitch_inbuffer_size,num_gswitches,use_multicast,json,worker_send_rate,worker_inbuffer_size,step_num,num_ps,worker_recv_rate,num_workers,iteration_time,MTU,latency_std,ps_send_rate,on_same_rack,topology,gswitch_send_rate,tor_recv_rate,ps_inbuffer_size,gradient_size,trace_base_dir,timeout,ps_recv_rate,model_name,latency_distribution
0,25.0,-1,25.0,1e-05,-1,4,1,json/inception-v3_param_ps_assignment.json,3.5,-1,10,1,3.5,2,0.9776127593142478,12000.0,1.0,10.0,0,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,0,json/inception-v3_param_ps_assignment.json,3.5,-1,10,1,3.5,2,0.9838526418285701,12000.0,1.0,10.0,0,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,1,json/inception-v3_param_ps_assignment.json,3.5,-1,10,2,3.5,2,0.9776124828342482,12000.0,1.0,10.0,0,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,0,json/inception-v3_param_ps_assignment.json,3.5,-1,10,2,3.5,2,0.9851235785142946,12000.0,1.0,10.0,0,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,1,json/inception-v3_param_ps_assignment.json,3.5,-1,10,4,3.5,2,0.9776124828342481,12000.0,1.0,10.0,0,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,0,json/inception-v3_param_ps_assignment.json,3.5,-1,10,4,3.5,2,0.9776134044342482,12000.0,1.0,10.0,0,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,1,json/inception-v3_param_ps_assignment.json,3.5,-1,10,8,3.5,2,0.9776124828342481,12000.0,1.0,10.0,0,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,0,json/inception-v3_param_ps_assignment.json,3.5,-1,10,8,3.5,2,0.9776130270171051,12000.0,1.0,10.0,0,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,1,json/inception-v3_param_ps_assignment.json,3.5,-1,10,1,3.5,4,1.0466128514742483,12000.0,1.0,10.0,0,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,0,json/inception-v3_param_ps_assignment.json,3.5,-1,10,1,3.5,4,1.1465165494850573,12000.0,1.0,10.0,0,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
