inputs_as_bytes,gswitch_recv_rate,distribution_trace_base_dir,tor_inbuffer_size,tor_send_rate,latency,gswitch_inbuffer_size,num_gswitches,use_multicast,fwd_pass_time,in_network_computation,json,worker_send_rate,worker_inbuffer_size,step_num,num_ps,striping,worker_recv_rate,num_workers,ps_recv_rate,iteration_time,MTU,latency_std,ps_send_rate,on_same_rack,topology,fat_tree,verbosity,gswitch_send_rate,tor_recv_rate,ps_inbuffer_size,gradient_size,trace_base_dir,timeout,worker_receive_time,optimal_param_distribution,model_name,latency_distribution
0,25.0,distribution_csv/resnet-101/,-1,25.0,0.001,-1,4,1,0.176,0,json/resnet-101_param_ps_assignment.json,10,-1,41,1,1,10,2,10,0.8449589215999904,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/resnet-101/,3000.0,"[0.14466850240000603, 0.14466850240000603]",0,resnet-101,none
0,25.0,distribution_csv/resnet-101/,-1,25.0,0.001,-1,4,1,0.176,0,json/resnet-101_param_ps_assignment.json,10,-1,41,2,1,10,2,10,0.7568211808000003,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/resnet-101/,3000.0,"[0.1446630496000058, 0.1446630496000058]",0,resnet-101,none
0,25.0,distribution_csv/resnet-101/,-1,25.0,0.001,-1,4,1,0.176,0,json/resnet-101_param_ps_assignment.json,10,-1,41,4,1,10,2,10,0.8482809983999897,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/resnet-101/,3000.0,"[0.1446588864000058, 0.1446588864000058]",0,resnet-101,none
0,25.0,distribution_csv/resnet-101/,-1,25.0,0.001,-1,4,1,0.176,0,json/resnet-101_param_ps_assignment.json,10,-1,41,8,1,10,2,10,0.795577497599998,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/resnet-101/,3000.0,"[0.1522300832000133, 0.1522300832000133]",0,resnet-101,none
0,25.0,distribution_csv/resnet-101/,-1,25.0,0.001,-1,4,1,0.176,0,json/resnet-101_param_ps_assignment.json,10,-1,41,1,1,10,4,10,0.8575563648005435,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/resnet-101/,3000.0,"[0.14466850240000603, 0.14466850240000603, 0.14466850240000603, 0.14466850240000603]",0,resnet-101,none
0,25.0,distribution_csv/resnet-101/,-1,25.0,0.001,-1,4,1,0.176,0,json/resnet-101_param_ps_assignment.json,10,-1,41,2,1,10,4,10,0.5688211808000003,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/resnet-101/,3000.0,"[0.1446630496000058, 0.1446630496000058, 0.1446630496000058, 0.1446630496000058]",0,resnet-101,none
0,25.0,distribution_csv/resnet-101/,-1,25.0,0.001,-1,4,1,0.176,0,json/resnet-101_param_ps_assignment.json,10,-1,41,4,1,10,4,10,0.6602809983999897,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/resnet-101/,3000.0,"[0.1446588864000058, 0.1446588864000058, 0.1446588864000058, 0.1446588864000058]",0,resnet-101,none
0,25.0,distribution_csv/resnet-101/,-1,25.0,0.001,-1,4,1,0.176,0,json/resnet-101_param_ps_assignment.json,10,-1,41,8,1,10,4,10,0.6075774975999979,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/resnet-101/,3000.0,"[0.1522300832000133, 0.1522300832000133, 0.1522300832000133, 0.1522300832000133]",0,resnet-101,none
0,25.0,distribution_csv/resnet-101/,-1,25.0,0.001,-1,4,1,0.176,0,json/resnet-101_param_ps_assignment.json,10,-1,41,1,1,10,8,10,1.427381110397222,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/resnet-101/,3000.0,"[0.14466850240000603, 0.14466850240000603, 0.14466850240000603, 0.14466850240000603, 0.14466850240000603, 0.14466850240000603, 0.14466850240000603, 0.14466850240000603]",0,resnet-101,none
0,25.0,distribution_csv/resnet-101/,-1,25.0,0.001,-1,4,1,0.176,0,json/resnet-101_param_ps_assignment.json,10,-1,41,2,1,10,8,10,0.7904291104005768,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/resnet-101/,3000.0,"[0.1446630496000058, 0.1446630496000058, 0.1446630496000058, 0.1446630496000058, 0.1446630496000058, 0.1446630496000058, 0.1446630496000058, 0.1446630496000058]",0,resnet-101,none
