multicast,aggregation,num_ps,num_workers,median,neg bar,pos bar
BW: 10Gbps, Striping: 0, Optimal Param Distribution: 1, On Same Rack: 1,,,
0 Multicast,1 Agg,,,,,
0,1,1,2,0.0,3.925,4.0259
0,1,1,4,0.0,10.4181,6.7364
0,1,1,8,6.5097,12.7606,3.0035
0,1,1,16,5.2364,8.9398,0.9301
0,1,1,32,1.3164,3.5476,1.8855
,,,,,,
0,1,2,2,-4.1947,4.2955,4.1947
0,1,2,4,0.0,17.94,14.985
0,1,2,8,14.7575,2.6738,3.7104
0,1,2,16,8.1292,6.3948,1.7636
0,1,2,32,17.0096,10.0563,5.4841
,,,,,,
0,1,4,2,0.0,0.0,0.0
0,1,4,4,0.0,15.151,2.0037
0,1,4,8,9.5719,9.1227,4.6401
0,1,4,16,-2.4572,15.9202,30.5648
0,1,4,32,12.7744,0.9725,3.3438
,,,,,,
0,1,8,2,0.0,0.0,0.0
0,1,8,4,0.0,2.5549,0.5409
0,1,8,8,0.0,24.307,3.9909
0,1,8,16,11.1613,52.1455,25.4029
0,1,8,32,1.4196,7.9821,2.2231
,,,,,,
1 Multicast,0 Agg,,,,,
1,0,1,2,-3.7273,0.1977,3.7273
1,0,1,4,-3.8555,0.0121,5.1142
1,0,1,8,-2.2559,0.0071,0.7876
1,0,1,16,-0.3849,1.0134,1.3626
1,0,1,32,-0.1219,1.3399,4.4124
,,,,,,
1,0,2,2,-4.758,3.7322,4.758
1,0,2,4,-5.0196,6.7954,5.0196
1,0,2,8,0.567,4.1632,5.4643
1,0,2,16,6.791,1.742,3.8494
1,0,2,32,14.6713,1.5539,3.3326
,,,,,,
1,0,4,2,0.0,0.0,0.0
1,0,4,4,0.0,25.2157,0.0
1,0,4,8,-14.0026,5.3919,19.1607
1,0,4,16,6.6069,3.9989,10.2113
1,0,4,32,19.3497,2.1896,2.4683
,,,,,,
1,0,8,2,0.0,0.0,0.0
1,0,8,4,0.0,0.0,0.5409
1,0,8,8,2.4843,23.7074,1.1014
1,0,8,16,4.8021,72.5341,16.4925
1,0,8,32,19.6316,9.6737,4.0586
,,,,,,
1 Multicast,1 Agg,,,,,
1,1,1,2,-3.7273,0.1977,3.7273
1,1,1,4,19.4309,1.152,3.9764
1,1,1,8,60.0573,8.9293,5.672
1,1,1,16,65.6399,1.7972,9.4621
1,1,1,32,82.009,1.1005,2.3216
,,,,,,
1,1,2,2,-4.758,3.7322,4.758
1,1,2,4,-5.0196,6.7954,5.0196
1,1,2,8,34.7364,8.2575,11.739
1,1,2,16,47.8063,7.4079,7.7245
1,1,2,32,71.8039,1.0665,4.639
,,,,,,
1,1,4,2,0.0,0.0,0.0
1,1,4,4,0.0,25.2157,0.0
1,1,4,8,0.7227,6.9939,9.2979
1,1,4,16,7.9357,7.6986,18.0662
1,1,4,32,50.1355,6.8492,11.6696
,,,,,,
1,1,8,2,0.0,0.0,0.0
1,1,8,4,0.0,0.0,0.5409
1,1,8,8,2.4843,23.7074,1.1014
1,1,8,16,5.3387,69.2573,16.0689
1,1,8,32,16.4809,8.6863,5.146
,,,,,,
multicast + aggregation vs. multicast info
1,1,1,2,0.0,0.0,0.0
1,1,1,4,22.0955,0.7827,0.3355
1,1,1,8,60.9385,8.729,5.2868
1,1,1,16,65.624,1.2827,9.7923
1,1,1,32,81.9122,0.9281,2.0956
,,,,,,
1,1,2,2,0.0,0.0,0.0
1,1,2,4,0.0,0.0,0.0
1,1,2,8,37.0019,15.2419,9.1683
1,1,2,16,41.8236,4.7426,10.4673
1,1,2,32,66.9365,2.1894,5.5595
,,,,,,
1,1,4,2,0.0,0.0,0.0
1,1,4,4,0.0,0.0,0.0
1,1,4,8,7.7187,7.7187,13.3538
1,1,4,16,1.585,4.4303,9.4555
1,1,4,32,38.2896,9.0564,13.0712
,,,,,,
1,1,8,2,0.0,0.0,0.0
1,1,8,4,0.0,0.0,0.0
1,1,8,8,0.0,0.0,0.0
1,1,8,16,0.5636,13.3517,19.9679
1,1,8,32,-2.7039,12.7332,4.8809
,,,,,,
