multicast,aggregation,num_ps,num_workers,median,neg bar,pos bar
BW: 1Gbps, Striping: 1, Optimal Param Distribution: 0, On Same Rack: 1,,,
0 Multicast,1 Agg,,,,,
0,1,1,2,23.0714,0.002,0.1747
0,1,1,4,35.9416,0.0074,0.3792
0,1,1,8,42.8266,0.0391,0.1481
0,1,1,16,46.2611,0.6695,0.226
0,1,1,32,48.0107,0.1916,0.0933
,,,,,,
0,1,2,2,3.0966,0.2472,0.5473
0,1,2,4,25.8893,0.3123,0.0047
0,1,2,8,37.8151,0.7028,0.1223
0,1,2,16,43.6009,0.8227,0.1647
0,1,2,32,46.8277,0.1308,0.1249
,,,,,,
0,1,4,2,0.1047,0.1605,0.2534
0,1,4,4,21.6362,0.4595,0.0025
0,1,4,8,34.3055,1.0896,0.4575
0,1,4,16,41.4308,1.3668,0.5663
0,1,4,32,45.3169,1.1017,0.5621
,,,,,,
0,1,8,2,-0.0204,0.0035,0.1155
0,1,8,4,21.3749,0.4489,0.0232
0,1,8,8,34.1637,1.2657,0.4602
0,1,8,16,41.6299,3.3725,0.3819
0,1,8,32,45.4972,0.0595,0.2138
,,,,,,
1 Multicast,0 Agg,,,,,
1,0,1,2,24.9764,0.0031,0.0017
1,0,1,4,37.4822,0.0012,0.0009
1,0,1,8,43.738,0.0006,0.0001
1,0,1,16,47.0714,0.3874,0.2062
1,0,1,32,48.4882,0.1867,0.2084
,,,,,,
1,0,2,2,2.0203,0.7436,0.1954
1,0,2,4,25.9058,0.0013,0.0043
1,0,2,8,37.9495,0.002,0.0014
1,0,2,16,43.9731,0.3762,0.0713
1,0,2,32,46.9867,0.1777,0.4033
,,,,,,
1,0,4,2,0.0,0.3033,0.2434
1,0,4,4,8.1001,0.4251,0.2039
1,0,4,8,27.6231,0.2856,0.2489
1,0,4,16,38.7351,0.1381,0.7562
1,0,4,32,44.1445,0.9033,1.2842
,,,,,,
1,0,8,2,0.0,0.0239,0.0
1,0,8,4,5.8541,0.2277,0.1867
1,0,8,8,26.2477,0.1598,0.1476
1,0,8,16,37.8152,1.8826,0.5715
1,0,8,32,44.3799,0.745,0.6482
,,,,,,
1 Multicast,1 Agg,,,,,
1,1,1,2,48.0492,0.0032,0.291
1,1,1,4,73.424,0.0012,0.3781
1,1,1,8,86.617,0.1533,0.2381
1,1,1,16,93.2848,0.3739,0.0156
1,1,1,32,96.6085,0.0315,0.018
,,,,,,
1,1,2,2,4.9264,0.2451,0.5395
1,1,2,4,51.7955,0.3144,0.0025
1,1,2,8,75.7617,0.6997,0.1249
1,1,2,16,87.7546,0.1861,0.1578
1,1,2,32,93.6997,0.3709,0.2518
,,,,,,
1,1,4,2,0.115,0.1359,0.2431
1,1,4,4,29.7338,0.4595,0.005
1,1,4,8,61.893,1.0541,0.3862
1,1,4,16,80.1175,0.8657,0.2544
1,1,4,32,89.7373,0.7579,0.1964
,,,,,,
1,1,8,2,-0.0204,0.0,0.1155
1,1,8,4,27.1979,0.4464,0.0228
1,1,8,8,60.5068,1.1681,0.3925
1,1,8,16,79.3172,2.3847,0.3202
1,1,8,32,89.4175,0.3447,0.1256
,,,,,,
multicast + aggregation vs. multicast info
1,1,1,2,30.7525,0.0043,0.3894
1,1,1,4,57.4913,0.0026,0.604
1,1,1,8,76.2131,0.2725,0.4231
1,1,1,16,87.301,0.7471,0.133
1,1,1,32,93.405,0.0477,0.0664
,,,,,,
1,1,2,2,3.1627,0.2635,0.2859
1,1,2,4,34.9428,0.4255,0.0022
1,1,2,8,60.9391,1.1297,0.2002
1,1,2,16,78.2403,0.3572,0.1851
1,1,2,32,88.1156,0.7589,0.3875
,,,,,,
1,1,4,2,0.1153,0.0003,0.2913
1,1,4,4,23.5322,0.6629,0.0137
1,1,4,8,47.5562,1.8501,0.3284
1,1,4,16,67.4045,1.2708,0.5603
1,1,4,32,81.5956,1.4548,0.1899
,,,,,,
1,1,8,2,0.0034,0.0238,0.0917
1,1,8,4,22.5416,0.3191,0.1786
1,1,8,8,46.5673,1.6564,0.4026
1,1,8,16,66.7397,2.7447,0.537
1,1,8,32,80.9334,0.3199,0.5042
,,,,,,
