num_ps,num_workers,median,neg bar,pos bar
1,2,10.8982,0.2646,1.3318
1,4,27.0252,0.0,0.0292
1,8,37.5782,0.0104,0.0
1,16,44.1259,0.3433,0.996
1,32,47.2642,0.4973,0.6531
,,,,
2,2,0.414,0.0367,0.0705
2,4,13.8269,0.1606,0.0882
2,8,27.1244,0.2354,0.0085
2,16,37.565,0.2508,0.7913
2,32,43.8327,0.3159,0.3835
,,,,
4,2,0.0,0.0,0.0
4,4,0.272,0.0037,0.5732
4,8,15.5781,1.8052,0.0992
4,16,27.2564,1.1657,1.1251
4,32,37.8599,0.5371,0.1123
,,,,
8,2,0.0,0.0,0.0
8,4,0.0,0.0,0.0
8,8,0.3586,0.1028,0.1693
8,16,8.2473,22.5865,6.5406
8,32,26.9671,1.1905,7.7695
,,,,
