inputs_as_bytes,gswitch_recv_rate,distribution_trace_base_dir,tor_inbuffer_size,tor_send_rate,latency,gswitch_inbuffer_size,num_gswitches,use_multicast,fwd_pass_time,in_network_computation,json,worker_send_rate,worker_inbuffer_size,step_num,num_ps,striping,worker_recv_rate,num_workers,ps_recv_rate,iteration_time,MTU,latency_std,ps_send_rate,on_same_rack,topology,fat_tree,verbosity,gswitch_send_rate,tor_recv_rate,ps_inbuffer_size,gradient_size,trace_base_dir,timeout,worker_receive_time,optimal_param_distribution,model_name,latency_distribution
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,41,1,1,10,2,10,1.036623181,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.2306131584000911, 0.2306131584000911]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,41,2,1,10,2,10,0.887882605,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.20913800000006894, 0.20913800000006894]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,41,4,1,10,2,10,0.980916848,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.21245736960007114, 0.21245736960007114]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,41,8,1,10,2,10,0.919790304,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.20913309120006884, 0.20913309120006884]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,41,1,1,10,4,10,1.032623181,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,41,2,1,10,4,10,0.883882605,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,41,4,1,10,4,10,0.976916848,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,41,8,1,10,4,10,0.915790304,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,41,1,1,10,8,10,0.943623181,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,41,2,1,10,8,10,0.794882605,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,41,4,1,10,8,10,0.887916848,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,41,8,1,10,8,10,0.826790304,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,41,1,1,10,16,10,1.036623181,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,41,2,1,10,16,10,0.8088824,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,41,4,1,10,16,10,0.978916848,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,41,8,1,10,16,10,0.929790304,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,41,1,1,10,32,10,1.040623181,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,41,2,1,10,32,10,0.888882605,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,41,4,1,10,32,10,1.054916848,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,41,8,1,10,32,10,0.920790304,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,42,1,1,10,2,10,0.893623181,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.2306131584000911, 0.2306131584000911]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,42,2,1,10,2,10,0.744882605,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.20913800000006894, 0.20913800000006894]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,42,4,1,10,2,10,0.837916848,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.21245736960007114, 0.21245736960007114]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,42,8,1,10,2,10,0.776790304,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.20913309120006884, 0.20913309120006884]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,42,1,1,10,4,10,1.035623181,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,42,2,1,10,4,10,0.886882605,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,42,4,1,10,4,10,0.979916848,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,42,8,1,10,4,10,0.918790304,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,42,1,1,10,8,10,1.036623386,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,42,2,1,10,8,10,0.887882605,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,42,4,1,10,8,10,0.980916848,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,42,8,1,10,8,10,0.919790304,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,42,1,1,10,16,10,1.155623181,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,42,2,1,10,16,10,0.888882605,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894, 0.20913800000006894]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,42,4,1,10,16,10,1.131916643,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114, 0.21245736960007114]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,42,8,1,10,16,10,0.920790099,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884, 0.20913309120006884]",0,resnet-200,none
0,25,distribution_csv/resnet-200/,-1,25,0.001,-1,4,1,0.357,1,json/resnet-200_param_ps_assignment.json,10,-1,42,1,1,10,32,10,1.072623181,120000,0.0002,10,1,,1,1,25,25,-1,0,csv/resnet-200/,3000,"[0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911, 0.2306131584000911]",0,resnet-200,none
