multicast,aggregation,num_ps,num_workers,median,neg bar,pos bar
BW: 10Gbps, Striping: 1, Optimal Param Distribution: 1, On Same Rack: 1,,,
0 Multicast,1 Agg,,,,,
0,1,1,2,-0.0109,0.0,11.2273
0,1,1,4,21.2891,0.2003,0.3721
0,1,1,8,33.902,9.3802,2.2229
0,1,1,16,40.7162,1.214,0.1973
0,1,1,32,44.0857,0.9477,0.129
,,,,,,
0,1,2,2,0.0,0.0,0.0
0,1,2,4,-0.0109,0.0001,0.109
0,1,2,8,20.6839,18.8252,4.7847
0,1,2,16,33.1044,3.3429,1.7954
0,1,2,32,40.6479,3.423,0.237
,,,,,,
0,1,4,2,0.0,0.0,0.0
0,1,4,4,0.0,0.0,0.0
0,1,4,8,0.0,0.0662,4.2703
0,1,4,16,20.1775,6.8064,1.0887
0,1,4,32,31.1595,1.1072,2.9292
,,,,,,
0,1,8,2,0.0,0.0,0.0
0,1,8,4,0.0,0.0,0.0
0,1,8,8,0.0,0.0087,0.0
0,1,8,16,0.1086,9.4508,20.261
0,1,8,32,20.8907,8.1051,0.234
,,,,,,
1 Multicast,0 Agg,,,,,
1,0,1,2,11.167,0.0728,0.5063
1,0,1,4,32.0224,0.0,0.0
1,0,1,8,42.5413,0.3097,0.3504
1,0,1,16,47.3444,0.134,0.3311
1,0,1,32,50.2005,0.2917,0.24
,,,,,,
1,0,2,2,0.0,0.0,0.0
1,0,2,4,11.1414,0.0472,0.1102
1,0,2,8,32.205,0.1826,0.2601
1,0,2,16,42.2455,0.1283,0.2421
1,0,2,32,47.6045,0.1719,0.3362
,,,,,,
1,0,4,2,0.0,0.0,0.0
1,0,4,4,0.0,0.0,0.0
1,0,4,8,11.1063,2.9165,0.5822
1,0,4,16,32.2282,0.1782,0.4982
1,0,4,32,42.2507,0.3462,0.1106
,,,,,,
1,0,8,2,0.0,0.0,0.0
1,0,8,4,0.0,0.0,0.0
1,0,8,8,0.0,0.0,0.0
1,0,8,16,10.1836,13.1733,19.5972
1,0,8,32,32.0898,0.2604,0.1976
,,,,,,
1 Multicast,1 Agg,,,,,
1,1,1,2,11.156,0.0726,11.7338
1,1,1,4,53.3116,0.2004,0.3721
1,1,1,8,76.4236,9.4487,2.5132
1,1,1,16,86.2078,1.4326,2.0943
1,1,1,32,93.8606,0.7587,0.27
,,,,,,
1,1,2,2,0.0,0.0,0.0
1,1,2,4,11.1414,0.0472,0.1102
1,1,2,8,52.9073,18.8585,5.0223
1,1,2,16,76.4594,3.878,1.5923
1,1,2,32,88.2102,2.2132,0.046
,,,,,,
1,1,4,2,0.0,0.0,0.0
1,1,4,4,0.0,0.0,0.0
1,1,4,8,11.1063,2.9326,4.9914
1,1,4,16,53.0387,8.0399,0.3313
1,1,4,32,73.0476,3.591,3.4304
,,,,,,
1,1,8,2,0.0,0.0,0.0
1,1,8,4,0.0,0.0,0.0
1,1,8,8,0.0,0.0105,0.0
1,1,8,16,10.5515,17.4688,19.0574
1,1,8,32,52.9304,8.1864,0.1704
,,,,,,
multicast + aggregation vs. multicast info
1,1,1,2,-0.0122,0.0001,12.711
1,1,1,4,31.3179,0.2947,0.5474
1,1,1,8,59.0023,16.3904,4.1663
1,1,1,16,73.717,2.654,4.1235
1,1,1,32,87.6354,1.5299,0.5925
,,,,,,
1,1,2,2,0.0,0.0,0.0
1,1,2,4,0.0,0.0,0.0
1,1,2,8,30.5367,27.7957,7.1727
1,1,2,16,59.144,6.52,2.9159
1,1,2,32,77.4276,4.0669,0.1445
,,,,,,
1,1,4,2,0.0,0.0,0.0
1,1,4,4,0.0,0.0,0.0
1,1,4,8,0.0,0.0175,4.9928
1,1,4,16,30.7985,12.556,0.5352
1,1,4,32,53.3088,6.2999,6.1158
,,,,,,
1,1,8,2,0.0,0.0,0.0
1,1,8,4,0.0,0.0,0.0
1,1,8,8,0.0,0.0105,0.0
1,1,8,16,-0.2448,17.0545,23.0535
1,1,8,32,30.5932,11.7035,0.36
,,,,,,
