inputs_as_bytes,gswitch_recv_rate,distribution_trace_base_dir,tor_inbuffer_size,tor_send_rate,latency,gswitch_inbuffer_size,num_gswitches,use_multicast,json,in_network_computation,fwd_pass_time,worker_send_rate,worker_inbuffer_size,step_num,num_ps,striping,worker_recv_rate,num_workers,worker_receive_time,iteration_time,MTU,latency_std,ps_send_rate,on_same_rack,topology,fat_tree,verbosity,gswitch_send_rate,tor_recv_rate,ps_inbuffer_size,gradient_size,trace_base_dir,timeout,ps_recv_rate,latency_distribution,model_name,optimal_param_distribution
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,24,4,1,10,128,"[21.042096707781823, 21.04211913018179, 21.042120731781786, 21.042120731781786, 21.042127138181776, 21.04213034138177, 21.042135146181764, 21.042135946981762, 21.04213674778176, 21.042139950981756, 21.042140751781755, 21.042141552581754, 21.042142353381752, 21.042142353381752, 21.04214315418175, 21.04214395498175, 21.04214475578175, 21.042145556581747, 21.042147158181745, 21.042147958981744, 21.042147958981744, 21.042148759781742, 21.042148759781742, 21.042148759781742, 21.04215036138174, 21.04215036138174, 21.04215116218174, 21.042151962981738, 21.042152763781736, 21.042153564581735, 21.042153564581735, 21.042154365381734, 21.042155166181733, 21.04215596698173, 21.04215596698173, 21.04215676778173, 21.04215676778173, 21.04215756858173, 21.042159170181726, 21.042159970981725, 21.042159970981725, 21.042160771781724, 21.042160771781724, 21.042161572581723, 21.042161572581723, 21.042161572581723, 21.04216237338172, 21.04216317418172, 21.04216317418172, 21.04216397498172, 21.04216397498172, 21.042164775781718, 21.042165576581716, 21.042165576581716, 21.042165576581716, 21.042166377381715, 21.042166377381715, 21.042166377381715, 21.042167178181714, 21.042167178181714, 21.042167178181714, 21.042167978981713, 21.042167978981713, 21.04216877978171, 21.04216877978171, 21.04216877978171, 21.04216958058171, 21.04216958058171, 21.04216958058171, 21.04217038138171, 21.04217038138171, 21.042171182181708, 21.042171182181708, 21.042171182181708, 21.042171982981706, 21.042171982981706, 21.042172783781705, 21.042172783781705, 21.042172783781705, 21.042172783781705, 21.042173584581704, 21.042173584581704, 21.042174385381703, 21.042174385381703, 21.042174385381703, 21.042174385381703, 21.0421751861817, 21.0421751861817, 21.0421751861817, 21.0421759869817, 21.0421759869817, 21.0421759869817, 21.0421759869817, 21.0421767877817, 21.0421767877817, 21.042177588581698, 21.042177588581698, 21.042177588581698, 21.042177588581698, 21.042177588581698, 21.042178389381696, 21.042178389381696, 21.042178389381696, 21.042179190181695, 21.042179190181695, 21.042179190181695, 21.042179990981694, 21.042179990981694, 21.042180791781693, 21.042180791781693, 21.042180791781693, 21.042180791781693, 21.04218159258169, 21.04218159258169, 21.04218159258169, 21.04218159258169, 21.04218239338169, 21.04218239338169, 21.04218239338169, 21.04218239338169, 21.04218319418169, 21.04218319418169, 21.04218319418169, 21.04218319418169, 21.042183994981688, 21.042183994981688, 21.042183994981688, 21.042183994981688]",42.08433086213838,120000.0,0.0002,10,1,,1,0,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,1
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,1,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,24,4,1,10,128,"[0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197]",1.433020270397304,120000.0,0.0002,10,1,,1,0,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,1
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,25,4,1,10,128,"[21.042113524581797, 21.042115126181795, 21.042116727781792, 21.042121532581785, 21.042121532581785, 21.04212393498178, 21.04212393498178, 21.04212553658178, 21.042128739781774, 21.042129540581772, 21.042133544581766, 21.042133544581766, 21.042134345381765, 21.04213674778176, 21.04213754858176, 21.04213834938176, 21.04214315418175, 21.04214315418175, 21.04214395498175, 21.042145556581747, 21.042145556581747, 21.042146357381746, 21.042146357381746, 21.042147158181745, 21.042147158181745, 21.042147958981744, 21.042148759781742, 21.04214956058174, 21.04214956058174, 21.04214956058174, 21.04215116218174, 21.04215116218174, 21.042151962981738, 21.042152763781736, 21.042152763781736, 21.042153564581735, 21.042154365381734, 21.042155166181733, 21.042155166181733, 21.042155166181733, 21.04215596698173, 21.04215596698173, 21.04215676778173, 21.04215676778173, 21.042159970981725, 21.042159970981725, 21.042160771781724, 21.042161572581723, 21.042161572581723, 21.04216237338172, 21.04216317418172, 21.04216317418172, 21.04216397498172, 21.04216397498172, 21.04216397498172, 21.042165576581716, 21.042166377381715, 21.042166377381715, 21.042166377381715, 21.042166377381715, 21.042167178181714, 21.042167178181714, 21.042167178181714, 21.042167978981713, 21.042167978981713, 21.042167978981713, 21.04216877978171, 21.04216877978171, 21.04216877978171, 21.04217038138171, 21.04217038138171, 21.04217038138171, 21.042171182181708, 21.042171182181708, 21.042171182181708, 21.042171182181708, 21.042171982981706, 21.042172783781705, 21.042172783781705, 21.042172783781705, 21.042172783781705, 21.042173584581704, 21.042173584581704, 21.042174385381703, 21.042174385381703, 21.042174385381703, 21.0421751861817, 21.0421751861817, 21.0421751861817, 21.0421759869817, 21.0421759869817, 21.0421759869817, 21.0421767877817, 21.0421767877817, 21.042177588581698, 21.042177588581698, 21.042177588581698, 21.042177588581698, 21.042178389381696, 21.042178389381696, 21.042178389381696, 21.042179190181695, 21.042179190181695, 21.042179190181695, 21.042179190181695, 21.042179990981694, 21.042179990981694, 21.042179990981694, 21.042179990981694, 21.042180791781693, 21.042180791781693, 21.042180791781693, 21.04218159258169, 21.04218159258169, 21.04218159258169, 21.04218159258169, 21.04218239338169, 21.04218239338169, 21.04218239338169, 21.04218239338169, 21.04218319418169, 21.04218319418169, 21.04218319418169, 21.04218319418169, 21.042183994981688, 21.042183994981688, 21.042183994981688, 21.042183994981688]",42.0843141309384,120000.0,0.0002,10,1,,1,0,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,1
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,1,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,25,4,1,10,128,"[0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197]",1.4330169935973043,120000.0,0.0002,10,1,,1,0,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,1
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,26,4,1,10,128,"[21.042109520581803, 21.042115926981793, 21.042120731781786, 21.04212553658178, 21.042127138181776, 21.042127938981775, 21.042129540581772, 21.042132743781767, 21.042134345381765, 21.042135946981762, 21.042135946981762, 21.04213674778176, 21.04213674778176, 21.04213674778176, 21.04213754858176, 21.04213834938176, 21.042139150181757, 21.042139950981756, 21.04214315418175, 21.04214315418175, 21.04214475578175, 21.042145556581747, 21.042146357381746, 21.042147158181745, 21.042147158181745, 21.042147158181745, 21.042148759781742, 21.042152763781736, 21.042153564581735, 21.042153564581735, 21.042154365381734, 21.042154365381734, 21.042155166181733, 21.042155166181733, 21.042155166181733, 21.04215596698173, 21.04215756858173, 21.042158369381728, 21.042158369381728, 21.042159170181726, 21.042159170181726, 21.042160771781724, 21.042160771781724, 21.042160771781724, 21.042161572581723, 21.042161572581723, 21.042161572581723, 21.04216237338172, 21.04216237338172, 21.04216237338172, 21.04216317418172, 21.04216397498172, 21.04216397498172, 21.042164775781718, 21.042164775781718, 21.042165576581716, 21.042166377381715, 21.042166377381715, 21.042166377381715, 21.042166377381715, 21.042167178181714, 21.042167178181714, 21.042167178181714, 21.042167178181714, 21.042167978981713, 21.042167978981713, 21.04216877978171, 21.04216877978171, 21.04216877978171, 21.04216958058171, 21.04216958058171, 21.04216958058171, 21.04217038138171, 21.042171182181708, 21.042171182181708, 21.042171982981706, 21.042171982981706, 21.042171982981706, 21.042172783781705, 21.042172783781705, 21.042173584581704, 21.042173584581704, 21.042173584581704, 21.042173584581704, 21.042174385381703, 21.042174385381703, 21.042174385381703, 21.0421751861817, 21.0421751861817, 21.0421751861817, 21.0421751861817, 21.0421759869817, 21.0421759869817, 21.0421759869817, 21.0421767877817, 21.0421767877817, 21.0421767877817, 21.0421767877817, 21.042177588581698, 21.042177588581698, 21.042177588581698, 21.042177588581698, 21.042178389381696, 21.042178389381696, 21.042178389381696, 21.042179190181695, 21.042179190181695, 21.042179190181695, 21.042179990981694, 21.042179990981694, 21.042179990981694, 21.042180791781693, 21.042180791781693, 21.042180791781693, 21.042180791781693, 21.04218159258169, 21.04218159258169, 21.04218239338169, 21.04218239338169, 21.04218239338169, 21.04218239338169, 21.04218319418169, 21.04218319418169, 21.04218319418169, 21.042183994981688, 21.042183994981688, 21.042183994981688, 21.042183994981688]",42.084317407738396,120000.0,0.0002,10,1,,1,0,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,1
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,1,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,26,4,1,10,128,"[0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197]",1.4330137167973043,120000.0,0.0002,10,1,,1,0,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,1
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,27,4,1,10,128,"[21.0421111221818, 21.042121532581785, 21.042122333381784, 21.04212393498178, 21.04212393498178, 21.042126337381777, 21.042128739781774, 21.04213114218177, 21.04213114218177, 21.04213114218177, 21.04213194298177, 21.042132743781767, 21.042133544581766, 21.042134345381765, 21.042134345381765, 21.04213754858176, 21.04213834938176, 21.042139150181757, 21.04214315418175, 21.04214315418175, 21.04214395498175, 21.04214395498175, 21.042145556581747, 21.042145556581747, 21.042146357381746, 21.042147158181745, 21.042147958981744, 21.042148759781742, 21.042148759781742, 21.04214956058174, 21.04215036138174, 21.042152763781736, 21.042153564581735, 21.042153564581735, 21.042153564581735, 21.042154365381734, 21.042155166181733, 21.042155166181733, 21.04215596698173, 21.04215596698173, 21.04215676778173, 21.04215756858173, 21.04215756858173, 21.042158369381728, 21.042159170181726, 21.042159970981725, 21.042159970981725, 21.042160771781724, 21.042161572581723, 21.04216237338172, 21.04216317418172, 21.04216317418172, 21.04216317418172, 21.04216397498172, 21.04216397498172, 21.042164775781718, 21.042165576581716, 21.042165576581716, 21.042165576581716, 21.042166377381715, 21.042166377381715, 21.042167178181714, 21.042167178181714, 21.042167978981713, 21.042167978981713, 21.042167978981713, 21.042167978981713, 21.04216877978171, 21.04216877978171, 21.04216958058171, 21.04216958058171, 21.04217038138171, 21.042171182181708, 21.042171182181708, 21.042171182181708, 21.042171182181708, 21.042171982981706, 21.042171982981706, 21.042172783781705, 21.042172783781705, 21.042173584581704, 21.042173584581704, 21.042174385381703, 21.042174385381703, 21.042174385381703, 21.0421751861817, 21.0421751861817, 21.0421751861817, 21.0421751861817, 21.0421759869817, 21.0421759869817, 21.0421767877817, 21.0421767877817, 21.0421767877817, 21.0421767877817, 21.042177588581698, 21.042177588581698, 21.042177588581698, 21.042177588581698, 21.042178389381696, 21.042178389381696, 21.042179190181695, 21.042179190181695, 21.042179190181695, 21.042179190181695, 21.042179990981694, 21.042179990981694, 21.042179990981694, 21.042179990981694, 21.042180791781693, 21.042180791781693, 21.042180791781693, 21.04218159258169, 21.04218159258169, 21.04218159258169, 21.04218159258169, 21.04218239338169, 21.04218239338169, 21.04218239338169, 21.04218239338169, 21.04218319418169, 21.04218319418169, 21.04218319418169, 21.04218319418169, 21.042183994981688, 21.042183994981688, 21.042183994981688, 21.042183994981688]",42.08431886213839,120000.0,0.0002,10,1,,1,0,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,1
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,1,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,27,4,1,10,128,"[0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197]",1.4330202703973038,120000.0,0.0002,10,1,,1,0,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,1
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,28,4,1,10,128,"[21.042115926981793, 21.042127138181776, 21.042127938981775, 21.042132743781767, 21.042133544581766, 21.042135946981762, 21.04213674778176, 21.04213754858176, 21.04213834938176, 21.04213834938176, 21.042139150181757, 21.042140751781755, 21.042140751781755, 21.04214315418175, 21.04214395498175, 21.04214475578175, 21.042145556581747, 21.042146357381746, 21.042146357381746, 21.042147158181745, 21.042147158181745, 21.042147958981744, 21.042147958981744, 21.04215036138174, 21.042151962981738, 21.042152763781736, 21.042153564581735, 21.042153564581735, 21.042154365381734, 21.042155166181733, 21.04215596698173, 21.04215596698173, 21.04215676778173, 21.04215676778173, 21.042158369381728, 21.042158369381728, 21.042159170181726, 21.042159170181726, 21.042159170181726, 21.042159170181726, 21.042159970981725, 21.042159970981725, 21.042159970981725, 21.042160771781724, 21.042160771781724, 21.042161572581723, 21.042161572581723, 21.04216237338172, 21.04216237338172, 21.04216237338172, 21.04216317418172, 21.04216317418172, 21.04216397498172, 21.042164775781718, 21.042165576581716, 21.042166377381715, 21.042166377381715, 21.042166377381715, 21.042167178181714, 21.042167978981713, 21.042167978981713, 21.042167978981713, 21.04216877978171, 21.04216877978171, 21.04216877978171, 21.04216958058171, 21.04216958058171, 21.04216958058171, 21.04217038138171, 21.04217038138171, 21.04217038138171, 21.042171182181708, 21.042171182181708, 21.042171182181708, 21.042171182181708, 21.042171982981706, 21.042171982981706, 21.042171982981706, 21.042172783781705, 21.042172783781705, 21.042172783781705, 21.042173584581704, 21.042173584581704, 21.042174385381703, 21.042174385381703, 21.042174385381703, 21.042174385381703, 21.0421751861817, 21.0421751861817, 21.0421751861817, 21.0421759869817, 21.0421759869817, 21.0421767877817, 21.0421767877817, 21.042177588581698, 21.042177588581698, 21.042177588581698, 21.042178389381696, 21.042178389381696, 21.042178389381696, 21.042178389381696, 21.042179190181695, 21.042179190181695, 21.042179190181695, 21.042179990981694, 21.042179990981694, 21.042179990981694, 21.042179990981694, 21.042180791781693, 21.042180791781693, 21.042180791781693, 21.042180791781693, 21.04218159258169, 21.04218159258169, 21.04218159258169, 21.04218159258169, 21.04218239338169, 21.04218239338169, 21.04218239338169, 21.04218239338169, 21.04218319418169, 21.04218319418169, 21.04218319418169, 21.04218319418169, 21.042183994981688, 21.042183994981688, 21.042183994981688, 21.042183994981688]",42.08431966293837,120000.0,0.0002,10,1,,1,0,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,1
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,1,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,28,4,1,10,128,"[0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197, 0.6595061296005197]",1.4330169935973043,120000.0,0.0002,10,1,,1,0,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,1
