multicast,aggregation,num_ps,num_workers,median,neg bar,pos bar
BW: 10Gbps, Striping: 0, Optimal Param Distribution: 1, On Same Rack: 1,,,
0 Multicast,1 Agg,,,,,
0,1,1,2,-27.4893,0.0139,0.0506
0,1,1,4,-16.5103,0.0014,0.0
0,1,1,8,-9.1598,0.0,0.0
0,1,1,16,-4.8611,0.0,0.0089
0,1,1,32,-2.5001,0.0,0.0
,,,,,,
0,1,2,2,-15.0625,4.1228,19.9448
0,1,2,4,2.1162,12.8347,11.2213
0,1,2,8,9.8255,7.6907,5.4773
0,1,2,16,14.4489,0.7185,3.3504
0,1,2,32,19.0334,4.355,3.2799
,,,,,,
0,1,4,2,-7.6188,0.0024,8.4432
0,1,4,4,3.8111,14.5964,4.4532
0,1,4,8,12.045,4.8748,6.8742
0,1,4,16,24.8715,11.0074,0.6449
0,1,4,32,26.211,3.1963,4.5261
,,,,,,
0,1,8,2,-2.0303,0.0,2.4668
0,1,8,4,5.9103,7.8229,3.8579
0,1,8,8,-0.48,2.8603,13.6352
0,1,8,16,18.2374,4.058,2.1386
0,1,8,32,29.8616,3.9272,2.848
,,,,,,
1 Multicast,0 Agg,,,,,
1,0,1,2,0.0506,0.0506,0.0
1,0,1,4,0.0304,0.0274,0.0
1,0,1,8,0.0169,0.0,0.0
1,0,1,16,0.0089,0.0,0.0
1,0,1,32,0.0046,0.0,0.0
,,,,,,
1,0,2,2,15.3948,33.503,4.1467
1,0,2,4,5.4113,0.2065,17.3411
1,0,2,8,16.1508,1.1336,11.0735
1,0,2,16,21.0643,3.2608,0.3843
1,0,2,32,20.7922,3.8897,3.2154
,,,,,,
1,0,4,2,0.0,0.0,11.0152
1,0,4,4,-1.5959,4.1614,9.4664
1,0,4,8,19.898,10.7863,0.9249
1,0,4,16,27.3136,7.0889,0.4331
1,0,4,32,27.4435,3.1315,4.424
,,,,,,
1,0,8,2,0.0,0.0,2.4192
1,0,8,4,-0.4681,4.2755,4.5683
1,0,8,8,-7.5885,2.7015,15.8033
1,0,8,16,16.545,4.6911,4.2142
1,0,8,32,31.3176,1.5264,1.8887
,,,,,,
1 Multicast,1 Agg,,,,,
1,1,1,2,5.7598,2.665,0.0029
1,1,1,4,43.3986,1.6165,0.0
1,1,1,8,67.6443,0.0,0.8898
1,1,1,16,82.8636,0.0,0.4712
1,1,1,32,91.1702,0.0,0.0
,,,,,,
1,1,2,2,1.4772,17.9149,3.4081
1,1,2,4,31.9698,0.9698,6.9403
1,1,2,8,60.0484,0.0336,4.7057
1,1,2,16,78.8382,0.9386,0.3579
1,1,2,32,88.7078,0.3628,0.4584
,,,,,,
1,1,4,2,-7.6188,0.0024,11.8523
1,1,4,4,13.7881,3.7564,3.9394
1,1,4,8,44.2815,3.9849,0.8097
1,1,4,16,68.3867,3.0832,0.429
1,1,4,32,82.4443,0.6019,1.0769
,,,,,,
1,1,8,2,-2.0303,0.0,2.4668
1,1,8,4,5.9103,2.4347,3.8579
1,1,8,8,15.3365,2.6889,7.2612
1,1,8,16,47.2236,0.5221,1.5205
1,1,8,32,71.8071,0.6266,0.8899
,,,,,,
multicast + aggregation vs. multicast info
1,1,1,2,5.7121,2.6663,0.0506
1,1,1,4,43.3814,1.6011,0.0
1,1,1,8,67.6388,0.0,0.89
1,1,1,16,82.862,0.0,0.4713
1,1,1,32,91.1698,0.0,0.0
,,,,,,
1,1,2,2,-16.45,1.7695,17.8644
1,1,2,4,27.2115,6.5082,0.8976
1,1,2,8,52.353,0.7838,0.6356
1,1,2,16,73.5156,0.4357,0.0
1,1,2,32,85.7435,0.0,0.2308
,,,,,,
1,1,4,2,-7.6212,0.0,8.4456
1,1,4,4,11.445,0.746,5.5643
1,1,4,8,31.0053,1.3773,3.306
1,1,4,16,56.8403,0.3331,0.0433
1,1,4,32,75.8135,0.013,0.1964
,,,,,,
1,1,8,2,-2.0303,0.0015,0.0
1,1,8,4,5.9103,0.3982,4.2611
1,1,8,8,19.1354,7.1846,2.8661
1,1,8,16,36.3065,2.1454,3.8464
1,1,8,32,58.9517,0.0012,0.1718
,,,,,,
