multicast,aggregation,num_ps,num_workers,median,neg bar,pos bar
BW: 10Gbps, Striping: 1, Optimal Param Distribution: 1, On Same Rack: 1,,,
0 Multicast,1 Agg,,,,,
0,1,1,2,4.2863,2.0008,0.0379
0,1,1,4,26.1246,0.0,1.0025
0,1,1,8,38.5591,0.5007,0.0
0,1,1,16,44.028,0.0005,0.2502
0,1,1,32,47.0137,0.0,0.0
,,,,,,
0,1,2,2,-0.2073,38.1045,0.3013
0,1,2,4,14.7315,0.2137,4.0478
0,1,2,8,32.2467,0.8453,0.3857
0,1,2,16,41.3128,0.1929,0.0523
0,1,2,32,45.5589,0.0,0.0
,,,,,,
0,1,4,2,-7.6188,0.0024,8.3733
0,1,4,4,2.219,8.0209,7.6959
0,1,4,8,18.6614,5.231,6.3081
0,1,4,16,35.3464,0.0393,0.2073
0,1,4,32,42.6552,0.0045,0.1133
,,,,,,
0,1,8,2,-2.0303,0.0015,0.514
0,1,8,4,1.2175,3.2565,4.2437
0,1,8,8,4.4373,3.5166,2.8346
0,1,8,16,24.488,0.4214,3.7365
0,1,8,32,36.8555,0.0,0.0383
,,,,,,
1 Multicast,0 Agg,,,,,
1,0,1,2,24.962,0.0,0.0
1,0,1,4,37.4715,0.0007,0.0012
1,0,1,8,43.733,0.0,0.0
1,0,1,16,46.8659,0.0,0.0002
1,0,1,32,48.4328,0.0,0.0
,,,,,,
1,0,2,2,0.0628,19.6359,14.0908
1,0,2,4,24.6308,6.3993,4.072
1,0,2,8,37.4727,0.0,0.0
1,0,2,16,43.733,0.0,0.0
1,0,2,32,46.8661,0.0,0.0
,,,,,,
1,0,4,2,0.0,0.0,7.8455
1,0,4,4,0.0,9.1144,1.0697
1,0,4,8,21.9277,5.1435,4.183
1,0,4,16,37.4207,1.2637,0.0627
1,0,4,32,43.7244,0.0219,0.0086
,,,,,,
1,0,8,2,0.0,0.0,0.0
1,0,8,4,0.0,9.9677,4.2959
1,0,8,8,-5.0962,11.7169,2.497
1,0,8,16,20.2609,3.1159,3.5464
1,0,8,32,37.429,1.8174,0.019
,,,,,,
1 Multicast,1 Agg,,,,,
1,1,1,2,27.2475,0.0,2.0388
1,1,1,4,63.5968,0.0007,1.0005
1,1,1,8,81.7913,0.0,0.0
1,1,1,16,90.8939,0.0,0.0
1,1,1,32,95.4465,0.0024,0.0
,,,,,,
1,1,2,2,0.0319,17.9137,1.6791
1,1,2,4,40.482,1.0021,2.9456
1,1,2,8,70.2076,0.0,0.0
1,1,2,16,85.098,0.2451,0.0
1,1,2,32,92.425,0.0,0.1226
,,,,,,
1,1,4,2,-7.6188,0.0024,8.4432
1,1,4,4,10.8056,7.4319,6.9219
1,1,4,8,46.1608,0.4967,2.4145
1,1,4,16,73.018,0.2401,0.0118
1,1,4,32,86.3836,0.0,0.1191
,,,,,,
1,1,8,2,-2.0303,0.0015,0.0
1,1,8,4,1.2175,0.0,4.7696
1,1,8,8,13.523,1.1882,5.9364
1,1,8,16,49.2998,0.5115,2.6071
1,1,8,32,74.3305,0.0156,0.1004
,,,,,,
multicast + aggregation vs. multicast info
1,1,1,2,3.0458,0.0,2.7169
1,1,1,4,41.7803,0.0,1.6011
1,1,1,8,67.6388,0.0,0.0
1,1,1,16,82.862,0.0,0.0
1,1,1,32,91.1698,0.0046,0.0
,,,,,,
1,1,2,2,1.4144,17.8644,0.0628
1,1,2,4,20.6527,1.3054,6.5588
1,1,2,8,52.353,0.0,0.0
1,1,2,16,73.5156,0.4357,0.0
1,1,2,32,85.7435,0.0,0.2308
,,,,,,
1,1,4,2,-7.6212,0.0,0.0024
1,1,4,4,10.7619,0.8424,6.9656
1,1,4,8,30.5534,0.1503,4.7238
1,1,4,16,56.8403,0.3331,0.9151
1,1,4,32,75.8135,0.013,0.2
,,,,,,
1,1,8,2,-2.0303,0.0015,0.0
1,1,8,4,5.092,3.8745,5.0794
1,1,8,8,21.6714,6.6915,3.2812
1,1,8,16,38.1912,2.9412,0.2605
1,1,8,32,59.1235,0.173,0.9856
,,,,,,
