multicast,aggregation,num_ps,num_workers,median,neg bar,pos bar
BW: 10Gbps, Striping: 1, Optimal Param Distribution: 0, On Same Rack: 1,,,
0 Multicast,1 Agg,,,,,
0,1,1,2,2.2855,0.0,2.0387
0,1,1,4,26.126,0.0014,0.9998
0,1,1,8,38.5591,0.5007,0.0
0,1,1,16,44.278,0.25,0.0
0,1,1,32,47.1387,0.125,0.0
,,,,,,
0,1,2,2,2.2856,0.0,2.0008
0,1,2,4,26.1242,0.0,0.0
0,1,2,8,38.5579,0.5008,0.0
0,1,2,16,44.2779,0.2505,0.0
0,1,2,32,47.0134,0.0,0.1253
,,,,,,
0,1,4,2,0.2687,0.0413,1.6462
0,1,4,4,25.1127,0.0206,0.2172
0,1,4,8,37.5409,0.0,0.0
0,1,4,16,43.7691,0.0677,0.0
0,1,4,32,46.8844,0.0,0.0
,,,,,,
0,1,8,2,0.8753,2.2939,2.347
0,1,8,4,24.1701,0.0,0.8871
0,1,8,8,37.0612,0.0,0.371
0,1,8,16,43.5242,0.0,0.1671
0,1,8,32,46.7607,0.0,0.0789
,,,,,,
1 Multicast,0 Agg,,,,,
1,0,1,2,24.962,0.0,0.0
1,0,1,4,37.4715,0.0007,0.0012
1,0,1,8,43.733,0.0,0.0
1,0,1,16,46.8659,0.0,0.0
1,0,1,32,48.4328,0.0,0.0
,,,,,,
1,0,2,2,24.963,0.0038,0.0
1,0,2,4,37.4698,0.0,0.0
1,0,2,8,43.733,0.0,0.0
1,0,2,16,46.8659,0.0,0.0
1,0,2,32,48.4328,0.0,0.0
,,,,,,
1,0,4,2,22.7357,1.7196,1.2754
1,0,4,4,36.2311,0.1714,0.3286
1,0,4,8,43.176,0.0,0.0
1,0,4,16,46.5873,0.0,0.0
1,0,4,32,48.2936,0.0,0.0
,,,,,,
1,0,8,2,20.2695,0.0,2.3041
1,0,8,4,35.3172,0.4132,0.0
1,0,8,8,42.0523,0.0,0.9311
1,0,8,16,46.1818,0.1597,0.1371
1,0,8,32,48.1587,0.0,0.0769
,,,,,,
1 Multicast,1 Agg,,,,,
1,1,1,2,29.2483,2.0008,0.038
1,1,1,4,64.5973,1.0012,0.0006
1,1,1,8,81.7913,0.0,0.0
1,1,1,16,90.8939,0.0,0.2504
1,1,1,32,95.4465,0.0,0.1252
,,,,,,
1,1,2,2,29.2456,2.0008,0.038
1,1,2,4,64.5952,1.0012,0.0
1,1,2,8,81.7911,0.001,0.4998
1,1,2,16,90.8933,0.0,0.2505
1,1,2,32,95.5715,0.1253,0.0
,,,,,,
1,1,4,2,23.0044,0.0413,1.2709
1,1,4,4,61.4704,0.0207,0.1017
1,1,4,8,80.7169,0.0,0.0
1,1,4,16,90.3564,0.0,0.0
1,1,4,32,95.1777,0.0,0.0
,,,,,,
1,1,8,2,21.1405,1.816,2.347
1,1,8,4,59.4873,0.0,0.4739
1,1,8,8,79.7054,0.0,0.1196
1,1,8,16,89.8431,0.0,0.03
1,1,8,32,94.9191,0.0,0.0076
,,,,,,
multicast + aggregation vs. multicast info
1,1,1,2,5.7121,2.6663,0.0506
1,1,1,4,43.3814,1.6011,0.0
1,1,1,8,67.6388,0.0,0.0
1,1,1,16,82.862,0.0,0.4713
1,1,1,32,91.1698,0.0,0.2429
,,,,,,
1,1,2,2,5.7121,2.6712,0.0458
1,1,2,4,43.3797,1.6011,0.0
1,1,2,8,67.6383,0.0017,0.8884
1,1,2,16,82.861,0.0,0.4713
1,1,2,32,91.4121,0.2429,0.0
,,,,,,
1,1,4,2,0.3478,0.0535,2.1173
1,1,4,4,39.7088,0.2822,0.0176
1,1,4,8,66.0652,0.0,0.0
1,1,4,16,81.9452,0.0,0.0
1,1,4,32,90.6737,0.0,0.0
,,,,,,
1,1,8,2,1.0925,2.888,0.0879
1,1,8,4,37.3671,0.0,1.1256
1,1,8,8,64.9777,0.3621,0.0019
1,1,8,16,81.1831,0.104,0.0
1,1,8,32,90.1992,0.0,0.0
,,,,,,
