num_ps,num_workers,median,neg bar,pos bar
1,2,0.0,0.0,0.0
1,4,0.0,0.0019,0.0019
1,8,0.0,0.0,0.0
1,16,0.0,0.0005,0.0
1,32,0.0,0.0,0.0
,,,,
2,2,40.4761,1.0555,9.0133
2,4,49.8338,2.5002,0.1254
2,8,49.9772,0.0,0.0
2,16,49.9872,0.0,0.0
2,32,49.9919,0.0,0.0
,,,,
4,2,45.4343,4.6051,0.9372
4,4,67.0535,2.7719,2.6243
4,8,72.6977,1.5314,0.0135
4,16,72.7552,0.0119,0.0047
4,32,72.7677,0.0026,0.0
,,,,
8,2,43.3622,1.2918,0.0429
8,4,69.9467,1.499,0.3515
8,8,82.7299,1.1948,0.3058
8,16,85.3197,0.75,0.1283
8,32,85.443,0.0089,0.0215
,,,,
