"order, bits_sent, raw_edgename"
0,32.0,mixed_8x8x2048b/branch1x1/Conv/weights/Regularizer/L2Regularizer/value
1,32.0,mixed_8x8x2048b/branch1x1/Conv/weights/Regularizer/L2Regularizer/L2Loss
2,20971520.0,mixed_8x8x2048b/branch1x1/Conv/weights/read
3,32.0,mixed_8x8x2048b/branch3x3/Conv_1/weights/Regularizer/L2Regularizer/value
4,32.0,mixed_8x8x2048b/branch3x3/Conv_1/weights/Regularizer/L2Regularizer/L2Loss
5,14155776.0,mixed_8x8x2048b/branch3x3/Conv_1/weights/read
6,32.0,mixed_8x8x2048b/branch3x3dbl/Conv_2/weights/Regularizer/L2Regularizer/value
7,32.0,mixed_8x8x2048b/branch3x3dbl/Conv_2/weights/Regularizer/L2Regularizer/L2Loss
8,14155776.0,mixed_8x8x2048b/branch3x3dbl/Conv_2/weights/read
9,32.0,mixed_8x8x2048b/branch3x3dbl/Conv/weights/Regularizer/L2Regularizer/value
10,32.0,mixed_8x8x2048b/branch3x3dbl/Conv/weights/Regularizer/L2Regularizer/L2Loss
11,29360128.0,mixed_8x8x2048b/branch3x3dbl/Conv/weights/read
12,32.0,mixed_8x8x2048a/branch3x3/Conv/weights/Regularizer/L2Regularizer/value
13,32.0,mixed_8x8x2048a/branch3x3/Conv/weights/Regularizer/L2Regularizer/L2Loss
14,15728640.0,mixed_8x8x2048a/branch3x3/Conv/weights/read
15,14155776.0,mixed_8x8x2048a/branch3x3/Conv_2/weights/read
16,32.0,mixed_8x8x2048a/branch3x3/Conv_2/weights/Regularizer/L2Regularizer/value
17,32.0,mixed_8x8x2048a/branch3x3/Conv_2/weights/Regularizer/L2Regularizer/L2Loss
18,49545216.0,mixed_8x8x2048a/branch3x3dbl/Conv_1/weights/read
19,32.0,mixed_8x8x2048a/branch3x3dbl/Conv_1/weights/Regularizer/L2Regularizer/value
20,32.0,mixed_8x8x2048a/branch3x3dbl/Conv_1/weights/Regularizer/L2Regularizer/L2Loss
21,14155776.0,mixed_8x8x2048a/branch3x3dbl/Conv_3/weights/read
22,32.0,mixed_8x8x2048a/branch3x3dbl/Conv_3/weights/Regularizer/L2Regularizer/value
23,32.0,mixed_8x8x2048a/branch3x3dbl/Conv_3/weights/Regularizer/L2Regularizer/L2Loss
24,17694720.0,mixed_17x17x1280a/branch3x3/Conv_1/weights/read
25,32.0,mixed_17x17x1280a/branch3x3/Conv_1/weights/Regularizer/L2Regularizer/value
26,32.0,mixed_17x17x1280a/branch3x3/Conv_1/weights/Regularizer/L2Regularizer/L2Loss
27,8257536.0,mixed_17x17x1280a/branch7x7x3/Conv_1/weights/read
28,32.0,mixed_17x17x1280a/branch7x7x3/Conv_1/weights/Regularizer/L2Regularizer/value
29,32.0,mixed_17x17x1280a/branch7x7x3/Conv_1/weights/Regularizer/L2Regularizer/L2Loss
30,10616832.0,mixed_17x17x1280a/branch7x7x3/Conv_3/weights/read
31,32.0,mixed_17x17x1280a/branch7x7x3/Conv_3/weights/Regularizer/L2Regularizer/value
32,32.0,mixed_17x17x1280a/branch7x7x3/Conv_3/weights/Regularizer/L2Regularizer/L2Loss
33,12582912.0,mixed_8x8x2048b/branch_pool/Conv/weights/read
34,32.0,mixed_8x8x2048b/branch_pool/Conv/weights/Regularizer/L2Regularizer/value
35,32.0,mixed_8x8x2048b/branch_pool/Conv/weights/Regularizer/L2Regularizer/L2Loss
