"relative_time, bits_sent, raw_edgename"
0.0,2048.0,vgg/conv0/BatchNorm/moments/Squeeze
44.0,2048.0,vgg/conv1/BatchNorm/moments/Squeeze_1
44.0,2048.0,vgg/conv1/BatchNorm/moments/Squeeze
126.0,4096.0,vgg/conv2/BatchNorm/moments/Squeeze
127.0,4096.0,vgg/conv2/BatchNorm/moments/Squeeze_1
127.0,4096.0,vgg/conv3/BatchNorm/moments/Squeeze_1
127.0,4096.0,vgg/conv3/BatchNorm/moments/Squeeze
153.0,8192.0,vgg/conv4/BatchNorm/moments/Squeeze_1
153.0,8192.0,vgg/conv4/BatchNorm/moments/Squeeze
578.0,8192.0,vgg/conv5/BatchNorm/moments/Squeeze_1
578.0,8192.0,vgg/conv5/BatchNorm/moments/Squeeze
579.0,8192.0,vgg/conv6/BatchNorm/moments/Squeeze_1
579.0,8192.0,vgg/conv6/BatchNorm/moments/Squeeze
579.0,16384.0,vgg/conv7/BatchNorm/moments/Squeeze_1
579.0,16384.0,vgg/conv7/BatchNorm/moments/Squeeze
580.0,16384.0,vgg/conv8/BatchNorm/moments/Squeeze_1
580.0,16384.0,vgg/conv9/BatchNorm/moments/Squeeze_1
580.0,16384.0,vgg/conv8/BatchNorm/moments/Squeeze
580.0,16384.0,vgg/conv9/BatchNorm/moments/Squeeze
581.0,16384.0,vgg/conv10/BatchNorm/moments/Squeeze_1
581.0,16384.0,vgg/conv11/BatchNorm/moments/Squeeze_1
581.0,16384.0,vgg/conv10/BatchNorm/moments/Squeeze
581.0,16384.0,vgg/conv11/BatchNorm/moments/Squeeze
581.0,16384.0,vgg/conv12/BatchNorm/moments/Squeeze
582.0,16384.0,vgg/conv12/BatchNorm/moments/Squeeze_1
11695.0,32032.0,gradients/vgg/logits/xw_plus_b_grad/tuple/control_dependency_1
11695.0,131203072.0,gradients/AddN
11696.0,131072.0,gradients/vgg/fc2/xw_plus_b_grad/tuple/control_dependency_1
11696.0,131072.0,gradients/vgg/fc1/xw_plus_b_grad/tuple/control_dependency_1
11696.0,536870912.0,gradients/AddN_1
11697.0,16384.0,gradients/vgg/conv12/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
11697.0,5435817984.0,gradients/AddN_2
11698.0,75497472.0,gradients/AddN_5
11699.0,16384.0,gradients/vgg/conv11/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
11700.0,16384.0,gradients/vgg/conv10/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
11700.0,75497472.0,gradients/AddN_8
11701.0,75497472.0,gradients/AddN_11
11702.0,16384.0,gradients/vgg/conv9/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
11703.0,16384.0,gradients/vgg/conv8/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
11703.0,75497472.0,gradients/AddN_14
11704.0,16384.0,gradients/vgg/conv7/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
11704.0,75497472.0,gradients/AddN_17
11705.0,37748736.0,gradients/AddN_20
11706.0,8192.0,gradients/vgg/conv6/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
11707.0,8192.0,gradients/vgg/conv5/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
11707.0,18874368.0,gradients/AddN_23
11708.0,8192.0,gradients/vgg/conv4/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
11708.0,18874368.0,gradients/AddN_26
11709.0,9437184.0,gradients/AddN_29
11710.0,4096.0,gradients/vgg/conv3/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
11711.0,4096.0,gradients/vgg/conv2/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
11711.0,4718592.0,gradients/AddN_32
11712.0,2359296.0,gradients/AddN_35
11713.0,2048.0,gradients/vgg/conv1/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
11714.0,2048.0,gradients/vgg/conv0/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
11714.0,1179648.0,gradients/AddN_38
11715.0,55296.0,gradients/AddN_41
